epoch,step,test_bce_per_pixel,wall_s
0,0,0.7024928352200255,0.0
1,50,0.26854338478555484,0.9187351250438951
2,100,0.25999074009486606,1.8013438750058413
3,150,0.25786442970742984,2.881825208023656
4,200,0.2569638671875,4.101904583047144
5,250,0.25649647989078445,5.3553535410319455
6,300,0.25572549874441963,6.235677375050727
7,350,0.2557621970663265,6.943938083015382
8,400,0.25545493861607144,7.664684041053988
9,450,0.2556177978515625,8.540314500045497
10,500,0.2552075270049426,9.451721416029613
11,550,0.25524731196189415,10.845166250015609
12,600,0.25520285345583543,12.890183625044301
13,650,0.25508751943160074,14.502058958052658
14,700,0.2552843017578125,16.43890754104359
15,750,0.2554449462890625,18.143036125053186
16,800,0.25503312838807396,19.634342750010546
17,850,0.2548942397759885,21.03788620803971
18,900,0.255001539580676,22.19362450001063
19,950,0.25486404605787627,23.11471883300692
20,1000,0.2548596714564732,24.062804541026708
21,1050,0.25491813815369896,25.13624100002926
22,1100,0.25485764608577804,26.238989250035957
23,1150,0.25483522251674107,27.251050083024893
24,1200,0.25464063496492345,28.251833541027736
25,1250,0.2548392383808992,29.218026916030794
26,1300,0.2547297288544324,30.172783832997084
27,1350,0.25481499123086737,31.161812916048802
28,1400,0.2550224285514987,32.32186250004452
29,1450,0.2549667769451531,33.454501750005875
30,1500,0.2549695222815689,34.69246812502388
31,1550,0.25488299435985334,35.98409841605462
32,1600,0.2547665866151148,37.24722537503112
33,1650,0.25462655951052293,38.39999445801368
34,1700,0.2547424864477041,39.45361883303849
35,1750,0.25475118831712373,40.482621791015845
36,1800,0.25457796057876275,41.583981208037585
37,1850,0.2544707305285395,42.57238920801319
38,1900,0.2548809739716199,43.53073216602206
39,1950,0.2546725277024873,44.590772916038986
40,2000,0.2546326979033801,45.681291625020094
