step,train_bce_mean,wall_s
0,0.7020202875137329,0.13342983304755762
1,0.6964055299758911,0.15668712503975257
2,0.6862053275108337,0.17204500001389533
3,0.671373188495636,0.19191583304200321
4,0.6542084813117981,0.208053958020173
5,0.6333679556846619,0.22463937505381182
6,0.6120277643203735,0.23921937501290813
7,0.5886700749397278,0.2539887500461191
8,0.5647672414779663,0.2690277080400847
9,0.542521059513092,0.28311933303484693
10,0.5176548957824707,0.2970055830082856
11,0.49633729457855225,0.31079245801083744
12,0.47755491733551025,0.3246853330056183
13,0.4603583514690399,0.33809195802314207
14,0.440655380487442,0.35214770800666884
15,0.42180460691452026,0.3670685830293223
16,0.4077003002166748,0.3812940830248408
17,0.39312583208084106,0.39669537503505126
18,0.3807230293750763,0.41311212501022965
19,0.36714810132980347,0.42669733305228874
20,0.361672967672348,0.44049391604494303
21,0.3512314260005951,0.45443416602211073
22,0.3441934287548065,0.46898620802676305
23,0.334602952003479,0.4835735410451889
24,0.3315781354904175,0.4980006660334766
25,0.3173062205314636,0.5117274580406956
26,0.30951985716819763,0.5258231250336394
27,0.31532320380210876,0.5408426659996621
28,0.30995434522628784,0.5543666660087183
29,0.30330461263656616,0.5677290830062702
30,0.29682907462120056,0.5813810000545345
31,0.30042311549186707,0.5952265830128454
32,0.29582804441452026,0.6088486660155468
33,0.29556331038475037,0.6229967910330743
34,0.28932398557662964,0.6351643750094809
35,0.2845289707183838,0.6474245000281371
36,0.29659968614578247,0.6626852500485256
37,0.2849574685096741,0.675853458000347
38,0.2822059392929077,0.6891125000547618
39,0.2902989685535431,0.7020800830214284
40,0.28961947560310364,0.7148547500255518
41,0.2834688127040863,0.7295744580333121
42,0.2753553092479706,0.7440315000130795
43,0.27980831265449524,0.7581337080337107
44,0.27955320477485657,0.7727741250419058
45,0.284891813993454,0.786756708053872
46,0.2821495234966278,0.8000273750512861
47,0.27772432565689087,0.8150866660289466
48,0.2768108546733856,0.8301923750550486
49,0.27965039014816284,0.8431464160094038
50,0.2770121097564697,0.9324088330031373
51,0.2756384313106537,0.9478200410376303
52,0.282083123922348,0.9631012080353685
53,0.27919021248817444,0.9773469160427339
54,0.27336135506629944,0.9922315830481239
55,0.28225040435791016,1.0062603330006823
56,0.27074751257896423,1.0206580000231043
57,0.2679469883441925,1.0346198330516927
58,0.26553988456726074,1.0491029580007307
59,0.27273693680763245,1.0639202080201358
60,0.2777784764766693,1.078881416004151
61,0.2695041000843048,1.093832666054368
62,0.27750471234321594,1.1091666250140406
63,0.2811397314071655,1.124305458040908
64,0.26810210943222046,1.1391809160122648
65,0.27425622940063477,1.1550297500216402
66,0.267197847366333,1.169336250051856
67,0.26686474680900574,1.1846685000346042
68,0.27000904083251953,1.2005197910475545
69,0.26858752965927124,1.2142997910268605
70,0.2729687988758087,1.229691625048872
71,0.2721385657787323,1.2442651660530828
72,0.2764397859573364,1.2588973750243895
73,0.2798560559749603,1.275158791046124
74,0.2618522047996521,1.290347500005737
75,0.27580100297927856,1.3080295830150135
76,0.27140170335769653,1.3241440830170177
77,0.2678227424621582,1.339621083054226
78,0.2695944607257843,1.356113208050374
79,0.26299402117729187,1.3727027080021799
80,0.27066275477409363,1.3879385410109535
81,0.26825132966041565,1.4037387910066172
82,0.2675381600856781,1.4199196660192683
83,0.2723464369773865,1.4359556660056114
84,0.2661800682544708,1.4529605830321088
85,0.270717591047287,1.467945791024249
86,0.2698737382888794,1.48526845802553
87,0.2729938328266144,1.5002251660334878
88,0.26725754141807556,1.5154239580151625
89,0.26758623123168945,1.5323723330511712
90,0.26872360706329346,1.5480753750307485
91,0.2685004770755768,1.5643470830400474
92,0.2711513340473175,1.5809682910330594
93,0.2662307024002075,1.596934791014064
94,0.2660670578479767,1.611981291032862
95,0.2699686586856842,1.628873708017636
96,0.27005913853645325,1.6448880830430426
97,0.27315694093704224,1.6626734580495395
98,0.2698105275630951,1.6785152910160832
99,0.2736138701438904,1.6941703330376185
100,0.2711819112300873,1.8183161250199191
101,0.26493510603904724,1.8337115830508992
102,0.26599299907684326,1.8477831660420634
103,0.26951977610588074,1.8640331250499003
104,0.2708563506603241,1.8784347500186414
105,0.26542457938194275,1.8928925830405205
106,0.2734009921550751,1.9095888750161976
107,0.2622773349285126,1.9228750000474975
108,0.2640739381313324,1.940167749999091
109,0.2754502296447754,1.9570905830478296
110,0.27315834164619446,1.979281833046116
111,0.263904869556427,2.0027279159985483
112,0.2642810046672821,2.0287882499978878
113,0.2662088871002197,2.069135375029873
114,0.26503732800483704,2.1045575830503367
115,0.2668002247810364,2.1238510830444284
116,0.2689851224422455,2.1538820410496555
117,0.26876839995384216,2.1740200410131365
118,0.27346521615982056,2.189902708050795
119,0.26827722787857056,2.2072584580164403
120,0.26520729064941406,2.2260722080245614
121,0.2676832973957062,2.2438797909999266
122,0.26644036173820496,2.2624177500256337
123,0.27168914675712585,2.280661791039165
124,0.2613665759563446,2.298996250028722
125,0.2646554112434387,2.3171526660444215
126,0.26589134335517883,2.337012250034604
127,0.2677512764930725,2.3558289580396377
128,0.2659878730773926,2.374138125043828
129,0.261062353849411,2.3923870410071686
130,0.2630360424518585,2.413219708018005
131,0.27262595295906067,2.43126091605518
132,0.2679712772369385,2.451793958025519
133,0.2704664170742035,2.4708234580466524
134,0.2637796401977539,2.4894072910537943
135,0.26712799072265625,2.5087205410236493
136,0.261414498090744,2.5305410000146367
137,0.2643187940120697,2.5482560410164297
138,0.2660568952560425,2.5657198750413954
139,0.2695302367210388,2.5839308750000782
140,0.26001060009002686,2.600973666005302
141,0.2658213675022125,2.6194460000260733
142,0.27234312891960144,2.638997416011989
143,0.2649499773979187,2.6579476660117507
144,0.2748833894729614,2.6757715410203673
145,0.2710864841938019,2.6955987910041586
146,0.2682679295539856,2.713911166007165
147,0.2662545442581177,2.7445990000269376
148,0.2632492482662201,2.7638962080236524
149,0.2607685625553131,2.7846457910491154
150,0.2625424861907959,2.899619916046504
151,0.2710798382759094,2.9148590000113472
152,0.2751142382621765,2.9317600410431623
153,0.2739589214324951,2.949078666046262
154,0.2636977732181549,2.96652391605312
155,0.2660527527332306,2.982215541007463
156,0.26264795660972595,3.001218500023242
157,0.2555724084377289,3.018108333053533
158,0.26772502064704895,3.0349685000255704
159,0.2714232802391052,3.050852583022788
160,0.2597195506095886,3.065425625012722
161,0.262992799282074,3.0785530830034986
162,0.25866320729255676,3.095685708045494
163,0.25987708568573,3.1112702500540763
164,0.26893001794815063,3.1268322080140933
165,0.27360212802886963,3.145182083011605
166,0.26652267575263977,3.1654392910422757
167,0.26318007707595825,3.182454666006379
168,0.2615341544151306,3.2006511660292745
169,0.26334062218666077,3.217643416021019
170,0.2687940001487732,3.2344930410035886
171,0.26665860414505005,3.249593915999867
172,0.26613035798072815,3.2641889580409043
173,0.264401912689209,3.2794961660401896
174,0.2653900682926178,3.2965557080460712
175,0.25451740622520447,3.3141762500163168
176,0.26474687457084656,3.33280262502376
177,0.2671430706977844,3.3521308750496246
178,0.25989091396331787,3.370916041021701
179,0.26434972882270813,3.3921385830035433
180,0.26439008116722107,3.410402541048825
181,0.2662661075592041,3.4279465410509147
182,0.26086530089378357,3.448313291009981
183,0.2686227858066559,3.468496708024759
184,0.26035451889038086,3.486489541013725
185,0.26548290252685547,3.5064062910387293
186,0.26870009303092957,3.5282102080527693
187,0.2661820948123932,3.54858908301685
188,0.27435821294784546,3.5690184580162168
189,0.27024921774864197,3.5865531250019558
190,0.26643410325050354,3.6074837910127826
191,0.27246662974357605,3.6265300000086427
192,0.2695598006248474,3.6431934160063975
193,0.2619011700153351,3.682913125026971
194,0.26035845279693604,3.750674791052006
195,0.2639746069908142,3.7934889580355957
196,0.2665342390537262,3.8644232080550864
197,0.26821738481521606,3.9220782080083154
198,0.26968976855278015,3.962079040997196
199,0.2652096450328827,3.984190415998455
200,0.25789743661880493,4.123545166046824
201,0.27008572220802307,4.143147958035115
202,0.26028478145599365,4.181340375042055
203,0.27115398645401,4.198690833000001
204,0.26486945152282715,4.216810666024685
205,0.26528435945510864,4.235085625026841
206,0.2676655054092407,4.25002850004239
207,0.26339274644851685,4.266796583018731
208,0.26575323939323425,4.281594750005752
209,0.2694837152957916,4.297447750053834
210,0.2646336257457733,4.31260879104957
211,0.2606503963470459,4.329973541025538
212,0.2653118371963501,4.352126250043511
213,0.2651612162590027,4.373523832997307
214,0.2649380564689636,4.391737458005082
215,0.2639053761959076,4.413122208032291
216,0.2696082293987274,4.441002166015096
217,0.26686641573905945,4.4676732500083745
218,0.2605188190937042,4.5294539160095155
219,0.26655319333076477,4.5462713750312105
220,0.2608833611011505,4.585660750046372
221,0.26298287510871887,4.604206832998898
222,0.26959627866744995,4.623500415997114
223,0.26980116963386536,4.642204875010066
224,0.2716794013977051,4.659757625020575
225,0.25561854243278503,4.681834958028048
226,0.2621457576751709,4.701293416030239
227,0.2610797584056854,4.7197091660345905
228,0.2656443417072296,4.738336583017372
229,0.2637251019477844,4.762205750041176
230,0.2618969678878784,4.79080579103902
231,0.26639190316200256,4.809871916018892
232,0.26944756507873535,4.828925041016191
233,0.26227134466171265,4.849113333038986
234,0.26408103108406067,4.872419166029431
235,0.25965380668640137,4.898409833025653
236,0.2657008469104767,4.924290708033368
237,0.26515817642211914,4.949273833015468
238,0.26418840885162354,4.970127500011586
239,0.26634180545806885,4.987849458004348
240,0.2675880491733551,5.006061000050977
241,0.26108333468437195,5.0250147500191815
242,0.26380208134651184,5.042378666053992
243,0.2634333074092865,5.05994741601171
244,0.2647020220756531,5.0775016660336405
245,0.26714539527893066,5.098248708003666
246,0.2608660161495209,5.121484375034925
247,0.2598199248313904,5.174351082998328
248,0.2700233459472656,5.2123668330023065
249,0.2711356580257416,5.232890583050903
250,0.26614508032798767,5.373287708032876
251,0.2653033435344696,5.3917094159987755
252,0.26704543828964233,5.409039375022985
253,0.26213425397872925,5.424908375018276
254,0.26259660720825195,5.447215416003019
255,0.2668853998184204,5.4654125410015695
256,0.2643774449825287,5.482710000011139
257,0.27257415652275085,5.500083708029706
258,0.2643698751926422,5.517616208002437
259,0.26683908700942993,5.534469625039492
260,0.26837411522865295,5.552813083049841
261,0.2682105004787445,5.569553958019242
262,0.268033891916275,5.586399457999505
263,0.2763464152812958,5.602187875017989
264,0.2668491005897522,5.617682500043884
265,0.265031635761261,5.633397625002544
266,0.26008176803588867,5.6487279160064645
267,0.26193347573280334,5.666411541053094
268,0.2627760171890259,5.682567041018046
269,0.2545699179172516,5.6991943750181235
270,0.26876991987228394,5.715418166015297
271,0.2606203556060791,5.73025708302157
272,0.2704108655452728,5.745038416003808
273,0.26795685291290283,5.759782833047211
274,0.26598116755485535,5.775464000005741
275,0.2678055763244629,5.7904470000066794
276,0.261996865272522,5.805172708001919
277,0.26269105076789856,5.820601000043098
278,0.2648511826992035,5.8356843330548145
279,0.26329678297042847,5.850276708020829
280,0.25760215520858765,5.864894375030417
281,0.25943103432655334,5.881933458033018
282,0.26547178626060486,5.897736500017345
283,0.2600378692150116,5.912497791054193
284,0.26189014315605164,5.927451125055086
285,0.2683347463607788,5.94142341602128
286,0.26332029700279236,5.954178791027516
287,0.2615581154823303,5.965574125002604
288,0.2582419514656067,6.027725916006602
289,0.26040947437286377,6.03892583301058
290,0.2630005478858948,6.051414416055195
291,0.26082777976989746,6.069121208041906
292,0.2569964528083801,6.080116958008148
293,0.26584288477897644,6.092506375047378
294,0.26578444242477417,6.104170333012007
295,0.26299038529396057,6.1153125000419095
296,0.26255929470062256,6.125962750054896
297,0.27011460065841675,6.136860124999657
298,0.2638223469257355,6.147805708053056
299,0.2661449611186981,6.168382875039242
300,0.2728697955608368,6.245764625025913
301,0.26170140504837036,6.255562833044678
302,0.2623266279697418,6.266343333001714
303,0.263704389333725,6.276123083021957
304,0.2603199779987335,6.2862859580200166
305,0.263982355594635,6.296721500053536
306,0.2605745494365692,6.306968916032929
307,0.26483967900276184,6.316688958031591
308,0.27241051197052,6.326477208000142
309,0.2633023262023926,6.335657041054219
310,0.2631312310695648,6.344597541028634
311,0.2664804458618164,6.354328958026599
312,0.26324284076690674,6.363845958025195
313,0.2582070231437683,6.37364491604967
314,0.265269011259079,6.38493041601032
315,0.26186972856521606,6.396808750054333
316,0.25640320777893066,6.40840733301593
317,0.2650972604751587,6.420220916043036
318,0.26130416989326477,6.431623041047715
319,0.26484641432762146,6.44367891602451
320,0.2568506896495819,6.456353957997635
321,0.2648477256298065,6.47015750000719
322,0.2614288628101349,6.482067375036422
323,0.267363578081131,6.492498208011966
324,0.27456173300743103,6.505213416006882
325,0.2623089849948883,6.518490250047762
326,0.2648603320121765,6.530785958049819
327,0.2700749635696411,6.544607290998101
328,0.2682366967201233,6.559331416036002
329,0.26139014959335327,6.574069624999538
330,0.26610639691352844,6.589503208000679
331,0.27193647623062134,6.60377604101086
332,0.25810372829437256,6.619554083037656
333,0.2652326822280884,6.634125416050665
334,0.2668134570121765,6.652294333034661
335,0.2617175579071045,6.668955000001006
336,0.2593459188938141,6.687892083020415
337,0.26859015226364136,6.701163333025761
338,0.26224520802497864,6.713863791024778
339,0.27228865027427673,6.728917458036449
340,0.2628980576992035,6.743694708042312
341,0.2634308338165283,6.757297833042685
342,0.2643604576587677,6.770617041038349
343,0.25933876633644104,6.785575665999204
344,0.26218605041503906,6.799407375045121
345,0.2638297975063324,6.815589250007179
346,0.2580164968967438,6.827183791028801
347,0.2662642002105713,6.839694666035939
348,0.26522713899612427,6.852440500049852
349,0.262474924325943,6.865820458042435
350,0.25528860092163086,6.958456375054084
351,0.2604682147502899,6.970793375046924
352,0.26061180233955383,6.983192500018049
353,0.2645999491214752,6.995574458036572
354,0.2618810534477234,7.007579166034702
355,0.2595246136188507,7.020491375005804
356,0.26736047863960266,7.033248291001655
357,0.2574893534183502,7.045398791029584
358,0.2659267485141754,7.058286250045057
359,0.2652556002140045,7.070640999998432
360,0.2595475912094116,7.083831500029191
361,0.2640531659126282,7.096043708035722
362,0.2642538249492645,7.109074833046179
363,0.2662240266799927,7.12237479101168
364,0.25759968161582947,7.135422916035168
365,0.2696397006511688,7.147884000034537
366,0.2635956406593323,7.162088291021064
367,0.26273152232170105,7.175917166052386
368,0.26368197798728943,7.189582833030727
369,0.263863205909729,7.203064500004984
370,0.2638653814792633,7.217917166010011
371,0.2680402100086212,7.231295666017104
372,0.26160863041877747,7.245730750029907
373,0.26539289951324463,7.259347000042908
374,0.26263540983200073,7.271921875013504
375,0.27358347177505493,7.285286833008286
376,0.26793810725212097,7.301442666037474
377,0.25694456696510315,7.313156791031361
378,0.2645540237426758,7.326399666024372
379,0.25622114539146423,7.339741875010077
380,0.26525187492370605,7.3523806250304915
381,0.26913246512413025,7.365206583053805
382,0.26874470710754395,7.377467208018061
383,0.2652113437652588,7.3893396250205114
384,0.26152437925338745,7.401261040999088
385,0.2552393078804016,7.413628833019175
386,0.27445361018180847,7.4260427910485305
387,0.27151617407798767,7.438044791051652
388,0.26818960905075073,7.451771583000664
389,0.2592204511165619,7.464886708010454
390,0.26445308327674866,7.478205999999773
391,0.2619323432445526,7.491725625004619
392,0.26438525319099426,7.5053056250326335
393,0.26324498653411865,7.517898583028
394,0.2560509145259857,7.532126208010595
395,0.26990678906440735,7.545405833050609
396,0.2683803141117096,7.558766291011125
397,0.2619550824165344,7.572074833035003
398,0.2678629159927368,7.585454208019655
399,0.2624671757221222,7.597132166032679
400,0.26761648058891296,7.677726041001733
401,0.2655204236507416,7.690516583039425
402,0.25959715247154236,7.70167245803168
403,0.25993508100509644,7.7154301250120625
404,0.26482146978378296,7.730171625036746
405,0.26077958941459656,7.743799791031051
406,0.27318447828292847,7.758483583049383
407,0.27230724692344666,7.771988750027958
408,0.26498374342918396,7.785017250047531
409,0.2647060751914978,7.798887208045926
410,0.2662103772163391,7.813565833028406
411,0.2594307065010071,7.827254833013285
412,0.2635693848133087,7.839902958017774
413,0.2602859437465668,7.851958250044845
414,0.2648862302303314,7.867850166046992
415,0.2564007341861725,7.8818038330064155
416,0.2663610279560089,7.895285833044909
417,0.2676104009151459,7.908483208040707
418,0.2664616107940674,7.919770416046958
419,0.2654021084308624,7.929788916022517
420,0.26893892884254456,7.942469375033397
421,0.2597540616989136,7.956193916033953
422,0.2650904655456543,7.970877875050064
423,0.2579856514930725,7.984697125037201
424,0.2607724070549011,7.997461332997773
425,0.2625136375427246,8.013755375053734
426,0.25740620493888855,8.032000833016355
427,0.2608712613582611,8.048757250013296
428,0.25724899768829346,8.067137041012757
429,0.2593633234500885,8.086992166005075
430,0.2668318748474121,8.10048166604247
431,0.27237826585769653,8.11540008301381
432,0.26066824793815613,8.145025458012242
433,0.2612847685813904,8.165794083033688
434,0.2657458484172821,8.181095791049302
435,0.2605113387107849,8.20171862503048
436,0.263958603143692,8.222861832997296
437,0.2683245837688446,8.238283375045285
438,0.26083245873451233,8.251427083043382
439,0.25957000255584717,8.265669625019655
440,0.2635243535041809,8.281069625052623
441,0.2698971629142761,8.30706037505297
442,0.26173341274261475,8.326513333013281
443,0.2583519220352173,8.342620750016067
444,0.26133647561073303,8.360130250046495
445,0.26994216442108154,8.37963545799721
446,0.2656053304672241,8.393205458007287
447,0.26360559463500977,8.408452708041295
448,0.2613055408000946,8.423758833028842
449,0.2696574032306671,8.438121166022029
450,0.26020681858062744,8.617452416045126
451,0.257048636674881,8.649128875054885
452,0.26594430208206177,8.666011332999915
453,0.2666398882865906,8.678579666011501
454,0.25624537467956543,8.690603041031864
455,0.2527087926864624,8.702535500051454
456,0.26542556285858154,8.715428000024986
457,0.26919522881507874,8.727538333041593
458,0.26902294158935547,8.739892583049368
459,0.2650314271450043,8.751943208044395
460,0.26121386885643005,8.764369625016116
461,0.2734107971191406,8.777104958018754
462,0.26383736729621887,8.791084166034125
463,0.25921106338500977,8.806702083034907
464,0.2623096704483032,8.821115583006758
465,0.2674550414085388,8.835831333009992
