step,loss,batch_accuracy,wall_clock_s
29010,0.0121,1.0,57.02
29020,0.012,1.0,57.04
29030,0.012,1.0,57.06
29040,0.012,1.0,57.08
29050,0.012,1.0,57.1
29060,0.012,1.0,57.12
29070,0.012,1.0,57.14
29080,0.012,1.0,57.16
29090,0.012,1.0,57.18
29100,0.012,1.0,57.2
29110,0.012,1.0,57.22
29120,0.012,1.0,57.24
29130,0.012,1.0,57.26
29140,0.012,1.0,57.27
29150,0.012,1.0,57.29
29160,0.012,1.0,57.31
29170,0.012,1.0,57.33
29180,0.012,1.0,57.35
29190,0.012,1.0,57.37
29200,0.012,1.0,57.39
29210,0.012,1.0,57.41
29220,0.0119,1.0,57.43
29230,0.0119,1.0,57.45
29240,0.0119,1.0,57.47
29250,0.0119,1.0,57.49
29260,0.0119,1.0,57.51
29270,0.0119,1.0,57.53
29280,0.0119,1.0,57.55
29290,0.0119,1.0,57.57
29300,0.0119,1.0,57.59
29310,0.0119,1.0,57.61
29320,0.0119,1.0,57.63
29330,0.0119,1.0,57.65
29340,0.0119,1.0,57.67
29350,0.0119,1.0,57.69
29360,0.0119,1.0,57.71
29370,0.0119,1.0,57.73
29380,0.0119,1.0,57.75
29390,0.0119,1.0,57.77
29400,0.0119,1.0,57.79
29410,0.0119,1.0,57.81
29420,0.0119,1.0,57.83
29430,0.0118,1.0,57.85
29440,0.0118,1.0,57.87
29450,0.0118,1.0,57.89
29460,0.0118,1.0,57.91
29470,0.0118,1.0,57.93
29480,0.0118,1.0,57.95
29490,0.0118,1.0,57.97
29500,0.0118,1.0,57.99
29510,0.0118,1.0,58.01
29520,0.0118,1.0,58.03
29530,0.0118,1.0,58.05
29540,0.0118,1.0,58.07
29550,0.0118,1.0,58.09
29560,0.0118,1.0,58.11
29570,0.0118,1.0,58.13
29580,0.0118,1.0,58.15
29590,0.0118,1.0,58.17
29600,0.0118,1.0,58.19
29610,0.0118,1.0,58.21
29620,0.0118,1.0,58.22
29630,0.0118,1.0,58.24
29640,0.0117,1.0,58.26
29650,0.0117,1.0,58.28
29660,0.0117,1.0,58.3
29670,0.0117,1.0,58.32
29680,0.0117,1.0,58.34
29690,0.0117,1.0,58.36
29700,0.0117,1.0,58.38
29710,0.0117,1.0,58.4
29720,0.0117,1.0,58.42
29730,0.0117,1.0,58.44
29740,0.0117,1.0,58.46
29750,0.0117,1.0,58.48
29760,0.0117,1.0,58.5
29770,0.0117,1.0,58.52
29780,0.0117,1.0,58.54
29790,0.0117,1.0,58.56
29800,0.0117,1.0,58.58
29810,0.0117,1.0,58.6
29820,0.0117,1.0,58.62
29830,0.0117,1.0,58.64
29840,0.0117,1.0,58.65
29850,0.0116,1.0,58.67
29860,0.0116,1.0,58.69
29870,0.0116,1.0,58.71
29880,0.0116,1.0,58.73
29890,0.0116,1.0,58.75
29900,0.0116,1.0,58.77
29910,0.0116,1.0,58.79
29920,0.0116,1.0,58.81
29930,0.0116,1.0,58.83
29940,0.0116,1.0,58.85
29950,0.0116,1.0,58.87
29960,0.0116,1.0,58.89
29970,0.0116,1.0,58.92
29980,0.0116,1.0,58.94
29990,0.0116,1.0,58.96
