step,loss,batch_accuracy,wall_clock_s
219,0.0138,1.0,94.0
220,0.0138,1.0,94.45
221,0.0138,1.0,94.9
222,0.0067,1.0,95.34
223,0.0021,1.0,95.78
224,0.0007,1.0,96.22
225,0.0001,1.0,96.66
226,0.0,1.0,97.1
227,0.0,1.0,97.54
228,0.0,1.0,97.98
229,0.0002,1.0,98.41
230,0.0002,1.0,98.85
231,0.0,1.0,99.29
232,0.0,1.0,99.73
233,0.0,1.0,100.16
234,0.0,1.0,100.61
235,0.0,1.0,101.14
236,0.0,1.0,101.6
237,0.0,1.0,102.06
238,0.0234,0.969,102.5
239,0.0234,0.969,102.94
240,0.0234,0.969,103.38
241,0.0042,1.0,103.82
242,0.0017,1.0,104.31
243,0.0005,1.0,104.76
244,0.0001,1.0,105.2
245,0.0,1.0,105.66
246,0.0,1.0,106.09
247,0.0,1.0,106.53
248,0.0,1.0,106.96
249,0.0,1.0,107.37
250,0.0,1.0,107.75
251,0.0,1.0,108.13
252,0.0,1.0,108.51
253,0.0004,1.0,108.88
254,0.0004,1.0,109.26
255,0.0004,1.0,109.65
256,0.0001,1.0,110.04
257,0.0001,1.0,110.42
258,0.0001,1.0,110.8
259,0.0,1.0,111.17
260,0.0,1.0,111.56
261,0.0,1.0,111.94
262,0.0,1.0,112.32
263,0.0,1.0,112.71
264,0.0,1.0,113.09
265,0.0,1.0,113.47
266,0.0002,1.0,113.85
267,0.0002,1.0,114.22
268,0.0002,1.0,114.6
269,0.0001,1.0,114.98
270,0.0,1.0,115.37
271,0.0,1.0,115.76
272,0.0,1.0,116.15
273,0.0,1.0,116.54
274,0.0,1.0,116.92
275,0.0,1.0,117.3
276,0.0027,1.0,117.69
277,0.0027,1.0,118.07
278,0.001,1.0,118.46
279,0.0006,1.0,118.84
280,0.0002,1.0,119.22
281,0.0001,1.0,119.61
282,0.0,1.0,119.99
283,0.0,1.0,120.37
284,0.0,1.0,120.75
285,0.0,1.0,121.14
286,0.0,1.0,121.52
287,0.0,1.0,121.89
288,0.0,1.0,122.27
289,0.0,1.0,122.65
290,0.0,1.0,123.03
291,0.0,1.0,123.41
292,0.0,1.0,123.79
293,0.0,1.0,124.17
294,0.0,1.0,124.55
295,0.0001,1.0,124.93
296,0.0001,1.0,125.32
297,0.0,1.0,125.69
298,0.0,1.0,126.08
299,0.0,1.0,126.47
300,0.0,1.0,126.87
301,0.0,1.0,127.26
302,0.0002,1.0,127.66
303,0.0002,1.0,128.03
304,0.0,1.0,128.42
305,0.0,1.0,128.8
306,0.0,1.0,129.19
307,0.0,1.0,129.56
308,0.0,1.0,129.95
309,0.0,1.0,130.4
310,0.0,1.0,130.8
311,0.0,1.0,131.2
312,0.0173,1.0,131.59
313,0.0173,1.0,131.97
314,0.0173,1.0,132.34
315,0.0173,1.0,132.74
316,0.0036,1.0,133.13
317,0.0036,1.0,133.51
318,0.0012,1.0,133.89
319,0.0004,1.0,134.27
320,0.0001,1.0,134.65
321,0.0001,1.0,135.02
322,0.0001,1.0,135.4
323,0.0,1.0,135.78
324,0.0,1.0,136.15
325,0.0,1.0,136.53
326,0.0011,1.0,136.91
327,0.0011,1.0,137.29
328,0.0011,1.0,137.66
329,0.0004,1.0,138.04
330,0.0001,1.0,138.42
331,0.0,1.0,138.8
332,0.0,1.0,139.18
333,0.0,1.0,139.56
334,0.0,1.0,139.93
335,0.0,1.0,140.31
336,0.0,1.0,140.69
337,0.0,1.0,141.07
338,0.0,1.0,141.45
339,0.0,1.0,141.85
340,0.0,1.0,142.23
341,0.0,1.0,142.6
342,0.0,1.0,142.98
343,0.0,1.0,143.35
344,0.0,1.0,143.74
345,0.0,1.0,144.12
346,0.0,1.0,144.5
347,0.0,1.0,144.87
348,0.0,1.0,145.25
349,0.0,1.0,145.63
350,0.0,1.0,146.01
351,0.0,1.0,146.39
352,0.0,1.0,146.79
353,0.0,1.0,147.17
354,0.0,1.0,147.54
355,0.0002,1.0,147.92
356,0.0002,1.0,148.3
357,0.0002,1.0,148.69
358,0.0002,1.0,149.06
359,0.0001,1.0,149.44
360,0.0,1.0,149.83
361,0.0,1.0,150.21
362,0.0,1.0,150.59
363,0.0,1.0,150.97
364,0.0004,1.0,151.35
365,0.0004,1.0,151.73
366,0.0004,1.0,152.12
367,0.0004,1.0,152.5
368,0.0002,1.0,152.87
369,0.0001,1.0,153.25
370,0.0,1.0,153.64
371,0.0,1.0,154.02
372,0.0,1.0,154.4
373,0.0,1.0,154.78
374,0.0001,1.0,155.17
375,0.0001,1.0,155.58
376,0.0,1.0,155.96
377,0.0,1.0,156.34
378,0.0,1.0,156.72
379,0.0,1.0,157.1
380,0.0,1.0,157.5
381,0.0,1.0,157.88
382,0.0,1.0,158.27
383,0.0,1.0,158.66
384,0.0408,0.969,159.03
385,0.0408,0.969,159.42
386,0.0408,0.969,159.79
387,0.0408,0.969,160.17
388,0.0022,1.0,160.57
389,0.0007,1.0,160.97
390,0.0002,1.0,161.37
391,0.0001,1.0,161.75
392,0.0,1.0,162.13
393,0.0,1.0,162.5
394,0.0,1.0,162.88
395,0.0,1.0,163.26
396,0.0,1.0,163.64
397,0.0089,1.0,164.02
398,0.0089,1.0,164.4
399,0.0089,1.0,164.78
