step,loss,probe_loss,probe_accuracy,wall_clock_s
1550,2.3024,2.3023,0.102,4.56
1560,2.3022,2.3023,0.102,4.59
1570,2.3024,2.3023,0.098,4.62
1580,2.3026,2.3023,0.098,4.65
1590,2.3024,2.3023,0.102,4.68
1600,2.3023,2.3023,0.102,4.71
1610,2.3025,2.3023,0.102,4.74
1620,2.3024,2.3023,0.102,4.77
1630,2.3024,2.3023,0.102,4.8
1640,2.3024,2.3023,0.102,4.83
1650,2.3026,2.3023,0.102,4.86
1660,2.303,2.3023,0.102,4.89
1670,2.3022,2.3023,0.098,4.92
1680,2.3023,2.3023,0.102,4.95
1690,2.3019,2.3023,0.102,4.97
1700,2.3028,2.3023,0.102,5.0
1710,2.3025,2.3023,0.102,5.03
1720,2.3025,2.3023,0.102,5.06
1730,2.3019,2.3023,0.102,5.09
1740,2.303,2.3023,0.102,5.12
1750,2.3029,2.3023,0.102,5.15
1760,2.3023,2.3023,0.102,5.18
1770,2.3023,2.3023,0.102,5.21
1780,2.3026,2.3023,0.102,5.24
1790,2.3025,2.3023,0.102,5.26
1800,2.3023,2.3023,0.102,5.29
1810,2.3025,2.3023,0.102,5.32
1820,2.3027,2.3023,0.105,5.35
1830,2.3021,2.3022,0.102,5.38
1840,2.3026,2.3022,0.098,5.41
1850,2.3023,2.3022,0.102,5.44
1860,2.3024,2.3022,0.098,5.47
1870,2.3029,2.3022,0.102,5.5
1880,2.3017,2.3022,0.094,5.53
1890,2.3023,2.3022,0.098,5.55
1900,2.3024,2.3022,0.098,5.58
1910,2.3019,2.3022,0.098,5.61
1920,2.3025,2.3022,0.094,5.64
1930,2.3028,2.3022,0.094,5.67
1940,2.3028,2.3022,0.094,5.7
1950,2.3021,2.3022,0.098,5.73
1960,2.3029,2.3022,0.094,5.76
1970,2.3029,2.3022,0.094,5.79
1980,2.3015,2.3021,0.094,5.82
1990,2.3026,2.3021,0.094,5.85
2000,2.3024,2.3021,0.094,5.88
2010,2.3025,2.3021,0.094,5.91
2020,2.3026,2.3021,0.094,5.94
2030,2.3025,2.3021,0.094,5.97
2040,2.3018,2.3021,0.094,5.99
2050,2.3027,2.3021,0.094,6.03
2060,2.3025,2.3021,0.094,6.06
2070,2.3023,2.3021,0.094,6.09
2080,2.302,2.3021,0.094,6.12
2090,2.3027,2.3021,0.098,6.15
2100,2.3017,2.3021,0.098,6.18
2110,2.3027,2.3021,0.098,6.21
2120,2.3026,2.3021,0.098,6.24
2130,2.3019,2.3021,0.094,6.27
2140,2.3025,2.3021,0.094,6.29
2150,2.3024,2.3021,0.098,6.32
2160,2.3023,2.3021,0.098,6.35
2170,2.3026,2.3021,0.102,6.38
2180,2.3021,2.3021,0.102,6.41
2190,2.3023,2.3021,0.098,6.44
2200,2.3014,2.302,0.098,6.47
2210,2.3027,2.302,0.098,6.5
2220,2.3019,2.302,0.098,6.53
2230,2.3026,2.302,0.105,6.56
2240,2.3033,2.302,0.105,6.59
2250,2.3032,2.302,0.105,6.62
2260,2.3017,2.302,0.102,6.65
2270,2.3026,2.302,0.105,6.68
2280,2.3025,2.302,0.105,6.71
2290,2.3028,2.302,0.105,6.74
2300,2.3024,2.302,0.105,6.77
2310,2.3036,2.302,0.105,6.79
2320,2.3032,2.302,0.105,6.82
2330,2.3011,2.302,0.105,6.85
2340,2.3024,2.302,0.105,6.88
2350,2.3024,2.302,0.105,6.91
2360,2.3021,2.302,0.105,6.94
2370,2.3018,2.3019,0.105,6.97
2380,2.3022,2.302,0.105,7.0
2390,2.3026,2.3019,0.102,7.03
2400,2.3017,2.3019,0.102,7.06
2410,2.3029,2.3019,0.102,7.09
2420,2.3014,2.3019,0.102,7.12
2430,2.3021,2.3019,0.102,7.14
2440,2.3015,2.3019,0.102,7.17
2450,2.3021,2.3019,0.102,7.2
2460,2.303,2.3019,0.102,7.23
2470,2.3024,2.3019,0.098,7.26
2480,2.3022,2.3018,0.094,7.29
2490,2.3034,2.3018,0.094,7.32
2500,2.3031,2.3018,0.094,7.35
2510,2.3025,2.3018,0.094,7.38
2520,2.3024,2.3018,0.094,7.41
2530,2.3011,2.3018,0.094,7.44
2540,2.3009,2.3018,0.094,7.47
2550,2.3025,2.3017,0.094,7.49
2560,2.3016,2.3017,0.094,7.52
2570,2.3033,2.3017,0.098,7.55
2580,2.3028,2.3017,0.094,7.58
2590,2.3012,2.3017,0.094,7.61
2600,2.3035,2.3017,0.094,7.64
2610,2.3016,2.3017,0.094,7.67
2620,2.3023,2.3017,0.094,7.7
2630,2.3026,2.3017,0.094,7.73
2640,2.3036,2.3017,0.094,7.76
2650,2.3018,2.3017,0.094,7.79
2660,2.3018,2.3017,0.094,7.82
2670,2.302,2.3017,0.094,7.85
2680,2.3033,2.3016,0.09,7.88
2690,2.3016,2.3016,0.09,7.91
2700,2.3023,2.3016,0.094,7.94
2710,2.3013,2.3016,0.09,7.97
2720,2.3004,2.3016,0.09,7.99
2730,2.3026,2.3016,0.09,8.02
2740,2.3017,2.3015,0.094,8.05
2750,2.302,2.3015,0.094,8.08
2760,2.3016,2.3015,0.09,8.11
2770,2.3017,2.3014,0.09,8.14
2780,2.3012,2.3014,0.09,8.17
2790,2.3019,2.3014,0.09,8.2
2800,2.3042,2.3014,0.09,8.23
2810,2.3039,2.3014,0.09,8.26
2820,2.3021,2.3014,0.09,8.29
2830,2.303,2.3014,0.09,8.31
2840,2.303,2.3014,0.09,8.34
2850,2.3018,2.3014,0.09,8.37
2860,2.3018,2.3014,0.09,8.4
2870,2.3019,2.3014,0.09,8.43
2880,2.3033,2.3013,0.09,8.47
2890,2.3039,2.3013,0.086,8.51
2900,2.3012,2.3013,0.086,8.54
2910,2.3012,2.3013,0.086,8.57
2920,2.3029,2.3013,0.09,8.6
2930,2.3004,2.3013,0.086,8.63
2940,2.3003,2.3012,0.09,8.66
2950,2.3014,2.3012,0.09,8.69
2960,2.3029,2.3012,0.09,8.75
2970,2.3023,2.3012,0.09,8.78
2980,2.2992,2.3012,0.086,8.81
2990,2.3009,2.3011,0.09,8.84
3000,2.3022,2.3011,0.09,8.87
3010,2.301,2.301,0.09,8.9
3020,2.3016,2.3009,0.09,8.93
3030,2.3009,2.3009,0.09,8.96
3040,2.3009,2.3009,0.09,8.99
3050,2.3011,2.3008,0.09,9.02
3060,2.3007,2.3008,0.09,9.05
3070,2.3005,2.3009,0.09,9.08
3080,2.3038,2.3008,0.09,9.1
3090,2.3017,2.3007,0.09,9.13
3100,2.3023,2.3008,0.09,9.16
3110,2.2985,2.3008,0.09,9.19
3120,2.3041,2.3007,0.09,9.22
3130,2.3017,2.3007,0.086,9.25
3140,2.3013,2.3007,0.086,9.28
3150,2.3013,2.3008,0.086,9.31
3160,2.3008,2.3007,0.086,9.34
3170,2.3014,2.3006,0.086,9.37
3180,2.3004,2.3005,0.09,9.4
3190,2.3035,2.3004,0.09,9.43
3200,2.3004,2.3004,0.09,9.46
3210,2.301,2.3004,0.086,9.49
3220,2.3002,2.3003,0.086,9.51
3230,2.3021,2.3003,0.086,9.54
3240,2.3067,2.3004,0.086,9.57
3250,2.3012,2.3003,0.086,9.6
3260,2.3031,2.3003,0.086,9.63
3270,2.302,2.3002,0.086,9.66
3280,2.3026,2.3002,0.086,9.69
3290,2.2951,2.3001,0.086,9.72
3300,2.299,2.3,0.086,9.75
3310,2.3022,2.2999,0.09,9.78
3320,2.3043,2.2999,0.086,9.81
