step,loss,probe_loss,probe_accuracy,wall_clock_s
159,2.2963,2.2952,0.102,60.77
160,2.2587,2.3269,0.047,61.17
161,2.2814,2.3269,0.047,61.55
162,2.2579,2.3573,0.051,61.92
163,2.3825,2.3693,0.062,62.3
164,2.3003,2.3098,0.062,62.67
165,2.3206,2.3098,0.062,63.05
166,2.299,2.3005,0.117,63.44
167,2.3003,2.3005,0.117,63.82
168,2.3067,2.298,0.113,64.19
169,2.2942,2.298,0.113,64.57
170,2.2983,2.2964,0.09,64.98
171,2.2936,2.3052,0.082,65.36
172,2.2987,2.3052,0.082,65.73
173,2.2975,2.3311,0.062,66.1
174,2.3017,2.3311,0.062,66.47
175,2.2808,2.3214,0.062,66.84
176,2.3493,2.3214,0.062,67.22
177,2.3263,2.314,0.062,67.59
178,2.306,2.3055,0.086,67.96
179,2.2986,2.2998,0.105,68.33
180,2.2736,2.3589,0.062,68.7
181,2.3463,2.3654,0.062,69.08
182,2.2976,2.3343,0.062,69.45
183,2.3043,2.3212,0.062,69.82
184,2.3405,2.3326,0.062,70.19
185,2.3146,2.2969,0.105,70.56
186,2.2999,2.2969,0.105,70.94
187,2.3002,2.2955,0.102,71.31
188,2.3069,2.2958,0.094,71.68
189,2.3018,2.2958,0.094,72.05
190,2.3005,2.2954,0.105,72.43
191,2.2947,2.2958,0.121,72.8
192,2.3031,2.2949,0.137,73.17
193,2.2844,2.2961,0.121,73.54
194,2.2945,2.2974,0.113,73.91
195,2.2982,2.2974,0.113,74.29
196,2.3065,2.3134,0.062,74.67
197,2.3093,2.3065,0.066,75.03
198,2.2848,2.3065,0.066,75.41
199,2.3165,2.3065,0.066,75.78
200,2.3046,2.309,0.062,76.17
201,2.2793,2.3033,0.094,76.54
202,2.417,2.4586,0.062,76.93
203,2.3703,2.3515,0.062,77.31
204,2.3067,2.3193,0.062,77.68
205,2.32,2.3083,0.059,78.06
206,2.3034,2.2982,0.141,78.44
207,2.2974,2.2982,0.141,78.87
208,2.3055,2.3005,0.117,79.26
209,2.2926,2.2956,0.102,79.63
210,2.2976,2.2956,0.102,80.02
211,2.2907,2.2956,0.102,80.39
212,2.308,2.2944,0.098,80.76
213,2.2975,2.2997,0.109,81.14
214,2.3066,2.2955,0.098,81.52
215,2.3046,2.2955,0.098,81.9
216,2.2918,2.2959,0.102,82.28
217,2.3025,2.2959,0.102,82.65
218,2.2964,2.301,0.098,83.03
219,2.2961,2.305,0.059,83.4
220,2.3101,2.305,0.059,83.77
221,2.3138,2.2994,0.109,84.16
222,2.3001,2.2972,0.125,84.53
223,2.2916,2.2972,0.125,84.91
224,2.3046,2.3051,0.062,85.29
225,2.2867,2.2977,0.141,85.65
226,2.2974,2.2977,0.141,86.03
227,2.2838,2.3086,0.062,86.41
228,2.3666,2.3331,0.062,86.79
229,2.3035,2.3092,0.062,87.17
230,2.302,2.3034,0.094,87.54
231,2.2928,2.3034,0.094,87.91
232,2.3577,2.3285,0.062,88.28
233,2.3028,2.3063,0.078,88.65
234,2.2985,2.3032,0.086,89.03
235,2.3208,2.3032,0.086,89.4
236,2.3052,2.3038,0.078,89.77
237,2.3029,2.2963,0.094,90.13
238,2.3014,2.2963,0.094,90.51
239,2.3104,2.2951,0.105,90.89
240,2.3197,2.3396,0.062,91.26
241,2.2959,2.3396,0.062,91.62
242,2.3433,2.3274,0.062,91.99
243,2.3047,2.3077,0.062,92.37
244,2.3108,2.3004,0.113,92.74
245,2.2971,2.2974,0.098,93.12
246,2.2968,2.2974,0.098,93.49
247,2.3027,2.2953,0.098,93.89
248,2.3037,2.2955,0.09,94.27
249,2.3023,2.2947,0.105,94.64
250,2.301,2.2947,0.105,95.01
251,2.3054,2.2958,0.098,95.42
252,2.3033,2.3003,0.094,95.79
253,2.3057,2.3003,0.094,96.17
254,2.3019,2.2977,0.094,96.55
255,2.2974,2.294,0.105,96.93
256,2.3082,2.294,0.105,97.31
257,2.3172,2.2985,0.121,97.69
258,2.2962,2.2971,0.098,98.07
259,2.304,2.2971,0.098,98.45
260,2.3423,2.3395,0.062,98.83
261,2.3064,2.3134,0.059,99.21
262,2.3198,2.3134,0.059,99.58
263,2.2995,2.3005,0.102,99.95
264,2.3038,2.3011,0.105,100.33
265,2.3044,2.3011,0.105,100.7
266,2.3099,2.3201,0.074,101.07
267,2.3179,2.3145,0.082,101.45
268,2.2892,2.2984,0.102,101.82
269,2.3056,2.2901,0.094,102.2
270,2.2915,2.2901,0.094,102.57
271,2.3257,2.3966,0.062,102.95
272,2.3058,2.3316,0.062,103.33
273,2.2677,2.3766,0.062,103.7
274,2.2391,2.3766,0.062,104.08
275,2.3597,2.3378,0.094,104.47
276,2.2998,2.2886,0.094,104.86
277,2.3072,2.2886,0.094,105.23
278,2.2984,2.2881,0.094,105.62
279,2.3085,2.2894,0.102,106.0
280,2.3209,2.2894,0.102,106.38
