step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,trust_radius,rho,lambda_star,tr_secular_evals,eig_min,eig_max,wall_clock_s
43.0,2.4801,2.5856,2.6538,0.129,0.125,0.1,16.52,0.003906,0.003906,0.499,7253.0,37.0,-3620.0,5400.0,46.16
44.0,2.5122,2.578,2.6531,0.121,0.156,0.1,2.745,0.003906,0.003906,1.107,894.3,36.0,-881.0,390.0,47.21
45.0,2.836,2.5996,2.6533,0.137,0.031,0.1,8.529,0.007812,0.007812,0.106,11920.0,36.0,-11600.0,619.0,48.19
46.0,2.7113,2.6033,2.666,0.148,0.062,0.1,9.415,0.001953,0.001953,0.873,8183.0,37.0,-3400.0,122.0,49.37
47.0,2.6528,2.5983,2.6739,0.148,0.156,0.1,6.756,0.003906,0.003906,0.471,8774.0,35.0,-7150.0,128.0,50.32
48.0,2.7435,2.6079,2.6691,0.145,0.031,0.1,3.215,0.003906,0.003906,1.034,1052.0,37.0,-317.0,192.0,51.38
49.0,2.8066,2.6178,2.6745,0.148,0.125,0.1,14.79,0.007813,0.007812,0.265,11840.0,36.0,-10900.0,147.0,52.35
50.0,2.5832,2.6101,2.6528,0.141,0.094,0.1,19.27,0.007813,0.007812,0.144,14730.0,35.0,-12400.0,336.0,53.39
51.0,2.521,2.613,2.6742,0.148,0.0,0.1,30.94,0.001953,0.001953,0.615,21640.0,36.0,-5840.0,215.0,54.52
52.0,2.5983,2.6077,2.672,0.145,0.094,0.1,6.223,0.001953,0.001953,0.996,2660.0,43.0,-37.3,8570.0,55.68
53.0,2.8265,2.6199,2.6773,0.148,0.062,0.1,14.53,0.003906,0.003906,0.969,1890.0,38.0,-385.0,13700.0,56.63
54.0,2.6374,2.6149,2.6598,0.145,0.062,0.1,16.67,0.007812,0.007812,0.44,9577.0,35.0,-7570.0,54.7,57.84
55.0,2.5256,2.6087,2.6509,0.133,0.094,0.1,5.147,0.007813,0.007812,-0.186,5318.0,36.0,-4720.0,728.0,58.83
56.0,2.877,2.6283,2.6509,0.133,0.062,0.1,23.99,0.001953,0.001953,0.528,28790.0,35.0,-19100.0,2640.0,60.0
57.0,2.4727,2.6257,2.6519,0.133,0.125,0.1,7.027,0.001953,0.001953,0.997,2625.0,38.0,-531.0,12000.0,61.06
58.0,2.7749,2.6362,2.651,0.133,0.062,0.1,4.182,0.003906,0.003906,0.976,658.0,36.0,-173.0,2450.0,62.19
59.0,2.348,2.6217,2.6474,0.129,0.125,0.1,8.232,0.007813,0.007812,0.561,2926.0,35.0,-2370.0,2100.0,63.24
60.0,2.5344,2.6193,2.6305,0.117,0.062,0.1,13.5,0.007813,0.007812,0.644,1115.0,37.0,-337.0,4830.0,64.3
61.0,2.5545,2.6229,2.6105,0.125,0.156,0.1,14.04,0.007813,0.007812,0.269,2329.0,37.0,-743.0,1310.0,65.37
62.0,2.5139,2.6255,2.6356,0.133,0.094,0.1,12.82,0.007812,0.007812,0.146,5083.0,35.0,-3940.0,4330.0,66.51
63.0,2.704,2.6367,2.6388,0.125,0.125,0.1,10.62,0.001953,0.001953,0.893,6895.0,37.0,-2320.0,939.0,67.41
64.0,3.0083,2.6615,2.6285,0.117,0.062,0.1,5.449,0.003906,0.003906,0.995,1094.0,38.0,-190.0,9480.0,68.54
65.0,2.5513,2.6473,2.6178,0.125,0.031,0.1,4.108,0.007813,0.007812,-0.028,11900.0,36.0,-11500.0,93.6,69.37
66.0,2.3594,2.6297,2.6178,0.125,0.062,0.1,24.63,0.001953,0.001953,0.671,10370.0,38.0,-2000.0,5860.0,70.53
67.0,2.7297,2.6335,2.631,0.133,0.094,0.1,15.37,0.001953,0.001953,0.76,34330.0,35.0,-27000.0,1590.0,71.51
68.0,2.5052,2.6216,2.6169,0.125,0.125,0.1,15.41,0.003906,0.003906,0.998,725.3,39.0,-60.5,10200.0,72.67
69.0,2.4973,2.6061,2.6064,0.125,0.188,0.1,16.94,0.007813,0.007812,0.258,5591.0,35.0,-4140.0,2830.0,73.65
70.0,2.5142,2.6027,2.6385,0.129,0.094,0.1,15.57,0.007813,0.007812,1.09,973.9,39.0,-92.3,1290.0,74.64
71.0,2.6109,2.6072,2.607,0.125,0.031,0.1,3.085,0.01563,0.01562,0.876,271.2,35.0,-142.0,2880.0,75.76
72.0,2.6836,2.6114,2.5756,0.129,0.031,0.1,7.602,0.03125,0.03125,0.687,91.7,35.0,-58.2,6430.0,76.92
73.0,2.4973,2.595,2.5619,0.137,0.219,0.1,16.51,0.03125,0.03125,-0.013,11370.0,36.0,-10900.0,725.0,77.84
74.0,2.5288,2.5896,2.5619,0.137,0.062,0.1,11.69,0.007812,0.007812,0.562,1974.0,36.0,-1960.0,2140.0,78.88
75.0,2.5116,2.5889,2.5289,0.141,0.094,0.1,18.79,0.007813,0.007812,0.157,11320.0,35.0,-9130.0,183.0,80.14
76.0,2.5543,2.5727,2.5665,0.129,0.094,0.1,4.913,0.001953,0.001953,0.991,2781.0,37.0,-976.0,767.0,81.19
77.0,2.6181,2.58,2.5654,0.129,0.188,0.1,2.356,0.003906,0.003906,0.307,2576.0,36.0,-2390.0,30.8,82.16
78.0,2.386,2.5606,2.5693,0.125,0.156,0.1,4.726,0.003906,0.003906,1.022,845.3,39.0,-71.6,3450.0,83.11
79.0,2.7917,2.5827,2.5675,0.129,0.0,0.1,5.038,0.007813,0.007812,0.368,9911.0,36.0,-9530.0,1590.0,84.29
80.0,2.6748,2.5898,2.5402,0.141,0.062,0.1,8.388,0.007813,0.007812,0.974,2880.0,35.0,-2070.0,2090.0,85.45
