step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,trust_radius,rho,lambda_star,tr_secular_evals,eig_min,eig_max,wall_clock_s
0.0,2.3028,2.3028,2.3025,0.125,0.031,0.1,0.005902,1.0,1.0,0.315,0.1095,35.0,-0.109,0.282,1.28
1.0,2.2796,2.2912,2.29,0.105,0.031,0.1,0.1619,1.0,1.0,-2.853,1.293,34.0,-1.27,3.96,2.44
2.0,2.3125,2.2983,2.29,0.105,0.094,0.1,0.5473,0.25,0.25,0.094,4.849,32.0,-4.84,4.02,4.18
3.0,2.2725,2.2919,2.29,0.105,0.125,0.1,0.2506,0.0625,0.0625,0.949,2.586,36.0,-1.25,4.15,5.53
4.0,2.298,2.2931,2.2849,0.121,0.156,0.1,0.2909,0.125,0.125,0.05,4.597,36.0,-2.98,1.88,6.88
5.0,2.308,2.2956,2.2849,0.121,0.094,0.1,0.1785,0.03125,0.03125,0.974,5.453,35.0,-2.42,3.91,8.32
6.0,2.3092,2.2975,2.286,0.117,0.094,0.1,0.6065,0.0625,0.0625,0.578,7.857,35.0,-5.45,8.59,9.63
7.0,2.2913,2.2967,2.2916,0.109,0.125,0.1,0.3904,0.0625,0.0625,0.42,8.026,35.0,-3.89,7.83,10.7
8.0,2.3049,2.2976,2.2843,0.113,0.094,0.1,0.203,0.0625,0.0625,0.935,5.12,35.0,-2.87,8.99,12.11
9.0,2.2861,2.2965,2.2929,0.117,0.125,0.1,0.1817,0.125,0.125,1.018,1.555,33.0,-0.769,11.7,13.13
10.0,2.2889,2.2958,2.2967,0.098,0.031,0.1,0.4001,0.25,0.25,-3.015,6.063,32.0,-5.5,4.95,14.39
11.0,2.3493,2.3003,2.2967,0.098,0.062,0.1,0.4329,0.0625,0.0625,1.022,13.95,35.0,-9.65,5.15,15.47
12.0,2.309,2.3009,2.2936,0.121,0.031,0.1,0.392,0.125,0.125,0.421,4.768,32.0,-3.89,14.0,16.84
13.0,2.3212,2.3024,2.282,0.109,0.094,0.1,0.5794,0.125,0.125,-0.074,13.8,36.0,-11.1,9.63,17.97
14.0,2.3636,2.3065,2.282,0.109,0.094,0.1,1.043,0.03125,0.03125,0.939,55.99,35.0,-28.1,7.5,19.19
15.0,2.3007,2.3061,2.2919,0.105,0.062,0.1,0.6849,0.0625,0.0625,0.837,6.158,36.0,-4.38,30.4,20.39
16.0,2.3381,2.308,2.2841,0.102,0.062,0.1,1.33,0.125,0.125,-0.248,27.54,35.0,-20.5,11.1,21.66
17.0,2.2962,2.3073,2.2841,0.102,0.156,0.1,0.4012,0.03125,0.03125,0.906,10.11,35.0,-5.49,14.7,22.83
18.0,2.2933,2.3066,2.2889,0.105,0.062,0.1,1.416,0.0625,0.0625,0.909,16.09,37.0,-6.38,40.4,24.28
19.0,2.2942,2.306,2.284,0.109,0.125,0.1,0.6157,0.125,0.125,-0.998,12.38,31.0,-11.6,19.5,25.36
20.0,2.3358,2.3076,2.284,0.109,0.094,0.1,1.737,0.03125,0.03125,0.85,66.66,37.0,-31.3,19.3,26.49
21.0,2.3139,2.3093,2.289,0.102,0.062,0.1,1.685,0.0625,0.0625,-0.629,39.1,35.0,-22.6,21.5,27.61
22.0,2.2745,2.3074,2.289,0.102,0.094,0.1,0.4305,0.01563,0.01562,0.987,24.75,36.0,-5.93,85.5,28.95
23.0,2.3021,2.3089,2.2865,0.105,0.031,0.1,0.2382,0.03125,0.03125,0.917,5.547,37.0,-1.73,58.9,30.17
24.0,2.2992,2.309,2.2882,0.102,0.062,0.1,0.1881,0.0625,0.0625,0.492,4.451,32.0,-3.57,27.1,31.62
25.0,2.2818,2.3077,2.2827,0.109,0.094,0.1,0.3123,0.0625,0.0625,0.857,2.933,33.0,-2.16,42.9,32.79
26.0,2.2599,2.3052,2.2814,0.109,0.156,0.1,0.4126,0.125,0.125,-3.513,9.21,36.0,-7.8,36.2,34.04
27.0,2.3018,2.3057,2.2814,0.109,0.094,0.1,0.7483,0.03125,0.03125,0.907,17.06,35.0,-8.28,36.3,35.49
28.0,2.2805,2.3045,2.3009,0.098,0.125,0.1,2.296,0.0625,0.0625,0.098,284.1,36.0,-249.0,13.2,36.87
29.0,2.2938,2.3049,2.3009,0.098,0.094,0.1,1.304,0.01563,0.01562,0.66,148.4,37.0,-69.0,12.2,38.31
30.0,2.2514,2.303,2.2853,0.098,0.219,0.1,2.218,0.01563,0.01562,0.946,111.9,40.0,-3.91,46.5,39.55
31.0,2.2677,2.2989,2.2853,0.105,0.188,0.1,0.6815,0.03125,0.03125,0.986,13.96,38.0,-2.18,81.5,40.74
32.0,2.2765,2.2973,2.2809,0.109,0.156,0.1,0.4734,0.0625,0.0625,0.978,3.093,36.0,-1.96,40.0,41.86
33.0,2.3361,2.298,2.2776,0.105,0.094,0.1,2.683,0.125,0.125,-0.269,41.25,35.0,-31.3,37.4,43.06
34.0,2.2734,2.2935,2.2776,0.105,0.062,0.1,0.7902,0.03125,0.03125,0.946,14.89,35.0,-7.3,71.9,44.08
35.0,2.312,2.2941,2.2826,0.109,0.062,0.1,1.252,0.0625,0.0625,-0.43,21.38,35.0,-15.6,62.4,45.28
36.0,2.3124,2.2928,2.2826,0.109,0.125,0.1,0.237,0.01563,0.01562,0.988,18.26,37.0,-5.71,31.8,46.55
37.0,2.2527,2.2906,2.2819,0.121,0.125,0.1,1.38,0.03125,0.03125,0.909,28.47,38.0,-4.07,48.1,47.69
38.0,2.2992,2.2909,2.2808,0.109,0.094,0.1,1.455,0.0625,0.0625,0.146,15.27,35.0,-11.6,50.3,48.76
39.0,2.268,2.2896,2.304,0.094,0.25,0.1,1.31,0.01563,0.01562,0.709,248.9,35.0,-168.0,17.6,49.97
40.0,2.2567,2.2857,2.292,0.098,0.25,0.1,2.573,0.01563,0.01562,0.893,219.1,36.0,-57.6,21.9,51.35
41.0,2.1938,2.2797,2.2813,0.105,0.156,0.1,3.115,0.03125,0.03125,0.909,36.01,38.0,-5.57,124.0,52.61
42.0,2.3848,2.2852,2.3055,0.109,0.094,0.1,3.891,0.0625,0.0625,0.415,67.13,35.0,-48.1,84.3,53.85
43.0,2.3077,2.2855,2.3055,0.09,0.125,0.1,2.795,0.0625,0.0625,0.283,9.208,35.0,-6.46,248.0,55.15
44.0,2.2872,2.2849,2.2959,0.125,0.062,0.1,1.448,0.0625,0.0625,-0.604,11.15,35.0,-5.19,90.2,56.3
45.0,2.3359,2.2876,2.2959,0.125,0.156,0.1,1.603,0.01563,0.01562,0.983,85.44,38.0,-11.0,224.0,57.48
46.0,2.3195,2.2906,2.3013,0.098,0.125,0.1,0.9064,0.03125,0.03125,0.643,22.74,35.0,-16.0,128.0,58.68
47.0,2.2919,2.2901,2.2978,0.117,0.094,0.1,3.763,0.03125,0.03125,0.962,10.27,35.0,-5.09,513.0,59.75
48.0,2.2788,2.29,2.2984,0.113,0.156,0.1,1.671,0.0625,0.0625,0.908,6.284,37.0,-1.8,254.0,60.93
49.0,2.2799,2.2893,2.2973,0.113,0.094,0.1,1.247,0.125,0.125,-0.859,7.198,32.0,-6.28,324.0,62.2
50.0,2.2916,2.2913,2.2973,0.113,0.156,0.1,2.321,0.03125,0.03125,0.237,24.58,36.0,-20.6,306.0,63.84
51.0,2.3347,2.2946,2.3111,0.125,0.031,0.1,2.292,0.007813,0.007812,1.009,141.9,39.0,-14.2,1570.0,65.09
52.0,2.3212,2.2969,2.309,0.109,0.062,0.1,3.027,0.01563,0.01562,0.028,747.0,35.0,-584.0,24.8,66.41
53.0,2.347,2.2974,2.309,0.109,0.188,0.1,1.49,0.003906,0.003906,1.0,292.8,39.0,-19.1,203.0,67.95
54.0,2.3264,2.3001,2.3054,0.117,0.062,0.1,1.242,0.007812,0.007812,0.532,574.8,35.0,-484.0,23.6,69.3
55.0,2.2132,2.2951,2.2957,0.117,0.219,0.1,4.479,0.007812,0.007812,0.906,290.1,42.0,-7.57,293.0,70.74
56.0,2.2651,2.2928,2.3036,0.121,0.062,0.1,3.564,0.01563,0.01562,0.882,122.8,37.0,-49.1,387.0,72.05
57.0,2.2646,2.2934,2.2973,0.113,0.125,0.1,2.482,0.03125,0.03125,0.764,12.46,35.0,-6.82,246.0,73.29
58.0,2.2545,2.2911,2.2938,0.121,0.188,0.1,0.4302,0.0625,0.0625,0.2,5.021,35.0,-2.96,315.0,74.64
59.0,2.3393,2.2947,2.287,0.129,0.125,0.1,3.136,0.01563,0.01562,0.903,127.8,37.0,-47.2,149.0,75.9
60.0,2.2107,2.2924,2.2981,0.133,0.25,0.1,1.237,0.03125,0.03125,0.922,35.12,38.0,-7.6,54.3,77.03
61.0,2.3226,2.2988,2.3316,0.125,0.0,0.1,5.342,0.0625,0.0625,0.479,9.585,31.0,-9.1,349.0,78.43
62.0,2.4083,2.3,2.3094,0.121,0.062,0.1,5.981,0.0625,0.0625,-0.635,99.02,35.0,-80.2,394.0,79.58
63.0,2.2943,2.2993,2.3094,0.121,0.125,0.1,3.524,0.01563,0.01562,0.841,123.6,37.0,-56.1,188.0,80.8
64.0,2.3074,2.3003,2.3107,0.121,0.125,0.1,2.046,0.03125,0.03125,0.912,31.4,37.0,-8.18,335.0,82.22
65.0,2.3289,2.3,2.2952,0.121,0.062,0.1,1.33,0.0625,0.0625,-1.239,20.02,35.0,-14.1,40.6,83.4
66.0,2.3072,2.2994,2.2952,0.121,0.062,0.1,1.032,0.01563,0.01562,1.027,32.24,38.0,-4.9,207.0,84.77
67.0,2.2887,2.2992,2.2875,0.129,0.094,0.1,0.9223,0.03125,0.03125,1.017,9.006,37.0,-3.36,408.0,86.1
68.0,2.2652,2.2985,2.2855,0.113,0.125,0.1,2.33,0.0625,0.0625,-0.029,294.0,36.0,-258.0,42.4,87.78
69.0,2.2789,2.2985,2.2855,0.113,0.156,0.1,1.609,0.01563,0.01562,0.754,59.23,37.0,-17.2,174.0,88.94
70.0,2.3247,2.3001,2.3059,0.113,0.094,0.1,1.247,0.03125,0.03125,-0.697,50.34,36.0,-46.4,126.0,90.22
71.0,2.2972,2.2983,2.3059,0.113,0.125,0.1,1.182,0.007813,0.007812,1.005,125.2,37.0,-46.6,132.0,91.45
72.0,2.278,2.2961,2.301,0.121,0.094,0.1,4.882,0.01563,0.01562,0.93,67.28,38.0,-8.78,573.0,93.09
73.0,2.2548,2.2915,2.292,0.113,0.125,0.1,2.112,0.03125,0.03125,-0.901,173.3,35.0,-112.0,29.4,94.61
74.0,2.2515,2.2878,2.292,0.113,0.125,0.1,0.8207,0.007813,0.007812,0.922,45.5,38.0,-5.24,223.0,95.96
75.0,2.285,2.2913,2.2859,0.117,0.0,0.1,2.809,0.01563,0.01562,0.524,299.4,35.0,-153.0,90.9,97.5
76.0,2.2551,2.2908,2.2812,0.113,0.219,0.1,2.674,0.01563,0.01562,0.658,78.01,37.0,-31.7,188.0,98.66
77.0,2.3466,2.2949,2.2849,0.129,0.094,0.1,3.402,0.01563,0.01562,0.965,73.02,35.0,-39.0,335.0,99.88
78.0,2.272,2.2958,2.2945,0.105,0.125,0.1,0.6621,0.03125,0.03125,0.63,36.58,36.0,-31.8,158.0,101.27
79.0,2.299,2.2938,2.2817,0.102,0.156,0.1,2.642,0.03125,0.03125,0.454,21.58,36.0,-19.2,373.0,102.47
80.0,2.2798,2.2973,2.2996,0.09,0.188,0.1,2.844,0.03125,0.03125,-0.553,350.3,35.0,-264.0,13.2,103.63
81.0,2.2702,2.2946,2.2996,0.09,0.156,0.1,2.191,0.007813,0.007812,0.966,1078.0,35.0,-820.0,9.48,105.01
82.0,2.3048,2.2895,2.3143,0.105,0.156,0.1,3.765,0.01563,0.01562,0.849,44.62,37.0,-13.6,664.0,106.28
83.0,2.2717,2.2883,2.3054,0.125,0.125,0.1,2.785,0.03125,0.03125,0.659,33.14,37.0,-11.9,394.0,107.6
84.0,2.2647,2.2862,2.3071,0.117,0.125,0.1,1.168,0.03125,0.03125,0.876,34.48,37.0,-12.7,730.0,108.98
85.0,2.2544,2.2825,2.2895,0.113,0.219,0.1,2.619,0.0625,0.0625,0.058,11.85,36.0,-9.9,755.0,110.32
86.0,2.2126,2.2778,2.2895,0.113,0.219,0.1,2.057,0.01562,0.01562,1.066,27.13,38.0,-4.94,781.0,111.82
87.0,2.2423,2.2754,2.2866,0.121,0.125,0.1,1.073,0.03125,0.03125,0.9,16.56,37.0,-4.16,510.0,113.07
88.0,2.3135,2.2778,2.2815,0.113,0.094,0.1,0.8841,0.0625,0.0625,0.921,11.61,36.0,-10.0,207.0,114.54
89.0,2.2527,2.2765,2.2989,0.105,0.188,0.1,1.732,0.125,0.125,-0.163,14.08,36.0,-11.8,64.6,115.82
90.0,2.3116,2.2759,2.2989,0.105,0.062,0.1,1.421,0.03125,0.03125,0.929,30.7,35.0,-18.9,113.0,117.12
91.0,2.3023,2.2761,2.2863,0.105,0.125,0.1,0.9184,0.0625,0.0625,0.555,57.48,35.0,-47.1,41.8,118.44
92.0,2.2783,2.2761,2.3299,0.109,0.156,0.1,3.295,0.0625,0.0625,-0.233,32.8,35.0,-22.3,326.0,119.76
93.0,2.4128,2.284,2.3299,0.109,0.062,0.1,10.34,0.01563,0.01562,0.615,369.6,38.0,-78.8,571.0,121.19
94.0,2.3974,2.2913,2.3217,0.109,0.062,0.1,1.908,0.01563,0.01562,1.007,90.18,36.0,-24.0,287.0,122.44
95.0,2.2548,2.2898,2.3093,0.102,0.188,0.1,0.7957,0.03125,0.03125,-0.294,283.1,27.0,-283.0,39.8,123.79
96.0,2.286,2.2914,2.3093,0.102,0.031,0.1,0.6211,0.007813,0.007812,0.723,74.15,36.0,-17.9,16.2,125.08
97.0,2.3099,2.2895,2.3105,0.105,0.062,0.1,1.362,0.007813,0.007812,0.783,197.6,37.0,-56.7,66.1,126.62
98.0,2.2295,2.2874,2.3145,0.113,0.125,0.1,1.207,0.01563,0.01562,1.016,29.33,38.0,-2.98,412.0,127.93
99.0,2.185,2.2817,2.3089,0.113,0.156,0.1,4.748,0.03125,0.03125,0.477,32.93,35.0,-21.4,346.0,129.17
100.0,2.3487,2.2852,2.3566,0.129,0.188,0.1,2.823,0.03125,0.03125,0.26,397.8,36.0,-344.0,48.9,130.61
101.0,2.2506,2.2842,2.297,0.113,0.219,0.1,1.721,0.03125,0.03125,-0.493,25.56,35.0,-13.1,217.0,132.07
102.0,2.268,2.2823,2.297,0.113,0.156,0.1,1.32,0.007812,0.007812,0.923,79.2,38.0,-17.3,202.0,133.25
103.0,2.2992,2.2837,2.297,0.109,0.062,0.1,1.557,0.01563,0.01562,1.068,37.09,35.0,-19.3,470.0,134.54
104.0,2.2359,2.2823,2.2935,0.109,0.188,0.1,0.8946,0.03125,0.03125,0.293,47.79,35.0,-30.7,18.8,135.8
105.0,2.4131,2.2902,2.3117,0.117,0.062,0.1,8.923,0.03125,0.03125,0.452,134.1,35.0,-101.0,390.0,137.23
106.0,2.2609,2.2926,2.307,0.105,0.0,0.1,4.104,0.03125,0.03125,0.861,106.7,37.0,-48.0,1790.0,138.64
107.0,2.389,2.3,2.3315,0.105,0.125,0.1,18.58,0.0625,0.0625,0.521,39.31,36.0,-35.1,2690.0,140.01
108.0,2.3061,2.2996,2.2972,0.098,0.094,0.1,1.439,0.0625,0.0625,1.003,6.155,35.0,-2.57,981.0,141.49
109.0,2.3061,2.3023,2.2967,0.113,0.188,0.1,1.597,0.125,0.125,-0.066,738.1,36.0,-732.0,47.5,142.93
110.0,2.279,2.3006,2.2967,0.113,0.031,0.1,0.9536,0.03125,0.03125,0.777,24.14,35.0,-14.8,379.0,144.5
111.0,2.2882,2.2999,2.2944,0.109,0.031,0.1,3.642,0.0625,0.0625,-0.408,61.94,35.0,-39.9,389.0,145.91
112.0,2.2915,2.3006,2.2944,0.109,0.25,0.1,2.909,0.01562,0.01562,1.058,64.56,39.0,-5.23,327.0,147.21
113.0,2.2713,2.2935,2.2877,0.102,0.219,0.1,1.638,0.03125,0.03125,0.849,33.64,37.0,-9.0,545.0,148.47
114.0,2.3239,2.2898,2.3035,0.105,0.062,0.1,4.061,0.0625,0.0625,0.057,1796.0,36.0,-1730.0,20.0,149.77
115.0,2.2532,2.2897,2.3035,0.105,0.219,0.1,2.091,0.01563,0.01562,0.471,1338.0,36.0,-1230.0,38.2,150.95
116.0,2.209,2.2859,2.2842,0.121,0.188,0.1,1.265,0.01563,0.01562,0.875,23.92,37.0,-6.48,487.0,152.2
117.0,2.2737,2.2841,2.2861,0.121,0.125,0.1,1.686,0.03125,0.03125,0.924,32.22,35.0,-17.6,454.0,153.63
118.0,2.2967,2.2874,2.2782,0.121,0.062,0.1,4.885,0.0625,0.0625,-1.131,123.2,35.0,-83.8,105.0,155.06
119.0,2.2798,2.2922,2.2782,0.121,0.125,0.1,1.541,0.01562,0.01562,0.764,48.0,35.0,-33.2,418.0,156.37
120.0,2.2386,2.2867,2.2919,0.113,0.125,0.1,2.157,0.03125,0.03125,-0.625,193.8,35.0,-152.0,43.9,157.84
121.0,2.2111,2.2847,2.2919,0.113,0.094,0.1,6.179,0.007813,0.007812,0.748,1011.0,36.0,-265.0,153.0,159.15
122.0,2.2446,2.2835,2.2804,0.117,0.188,0.1,3.366,0.007813,0.007812,1.077,84.99,40.0,-3.54,585.0,160.7
123.0,2.2874,2.283,2.2825,0.109,0.156,0.1,3.078,0.01563,0.01562,0.768,152.9,37.0,-63.0,285.0,162.11
124.0,2.2821,2.2853,2.2901,0.098,0.125,0.1,1.286,0.03125,0.03125,0.702,29.84,35.0,-21.4,107.0,163.39
125.0,2.2592,2.2776,2.2888,0.113,0.125,0.1,7.354,0.03125,0.03125,1.019,22.12,37.0,-9.85,717.0,164.58
126.0,2.3346,2.2813,2.2941,0.117,0.156,0.1,7.989,0.0625,0.0625,-0.825,184.0,35.0,-148.0,276.0,165.86
127.0,2.2106,2.2723,2.2941,0.117,0.156,0.1,1.1,0.01563,0.01562,0.956,40.63,38.0,-5.69,552.0,167.16
128.0,2.3121,2.2726,2.2845,0.105,0.062,0.1,7.825,0.03125,0.03125,0.237,234.7,35.0,-148.0,282.0,168.7
129.0,2.4198,2.2783,2.3407,0.109,0.094,0.1,4.978,0.007813,0.007812,0.995,541.7,38.0,-85.1,339.0,170.08
130.0,2.1964,2.2742,2.3317,0.113,0.25,0.1,2.285,0.01562,0.01562,0.985,53.86,37.0,-16.2,1960.0,171.71
131.0,2.3298,2.2763,2.3427,0.125,0.219,0.1,8.323,0.03125,0.03125,1.053,17.46,35.0,-9.17,1400.0,172.99
132.0,2.3101,2.2772,2.3058,0.117,0.094,0.1,7.278,0.0625,0.0625,0.709,15.74,35.0,-11.9,1390.0,174.25
133.0,2.3089,2.2791,2.2889,0.102,0.125,0.1,3.933,0.0625,0.0625,0.974,5.929,36.0,-4.61,703.0,175.56
134.0,2.2936,2.2776,2.3007,0.094,0.156,0.1,1.928,0.125,0.125,-1.46,29.68,36.0,-27.0,259.0,176.9
135.0,2.301,2.28,2.3007,0.094,0.094,0.1,2.206,0.03125,0.03125,0.127,1117.0,36.0,-1080.0,13.4,178.29
136.0,2.2966,2.2843,2.3763,0.086,0.094,0.1,3.402,0.007812,0.007812,0.996,282.1,36.0,-72.6,194.0,179.67
137.0,2.2815,2.2847,2.3426,0.086,0.156,0.1,7.518,0.01563,0.01562,0.862,211.3,36.0,-55.7,444.0,180.96
138.0,2.284,2.2841,2.3017,0.09,0.125,0.1,0.3298,0.03125,0.03125,0.947,13.15,36.0,-11.3,334.0,182.25
139.0,2.2732,2.2838,2.2918,0.121,0.125,0.1,3.834,0.0625,0.0625,0.451,39.46,35.0,-20.7,526.0,183.91
140.0,2.321,2.2879,2.284,0.117,0.031,0.1,5.767,0.0625,0.0625,-1.311,128.4,36.0,-115.0,328.0,185.09
