step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,trust_radius,rho,lambda_star,tr_secular_evals,eig_min,eig_max,wall_clock_s
0.0,2.303,2.303,2.3024,0.082,0.156,0.1,0.00638,1.0,1.0,0.002,0.3769,34.0,-0.377,0.129,1.42
1.0,2.3024,2.3027,2.3024,0.082,0.219,0.1,0.01058,0.25,0.25,0.009,0.1802,34.0,-0.17,0.13,2.62
2.0,2.3023,2.3026,2.3024,0.082,0.0,0.1,0.003634,0.0625,0.0625,0.861,0.1383,35.0,-0.104,0.298,4.5
3.0,2.3008,2.3021,2.3023,0.086,0.031,0.1,0.07037,0.125,0.125,1.03,1.733,33.0,-1.24,0.161,5.89
4.0,2.3764,2.317,2.3175,0.086,0.094,0.1,1.979,0.25,0.25,0.357,4.979,32.0,-4.85,77.7,7.04
5.0,2.2867,2.3119,2.302,0.082,0.156,0.1,0.3962,0.25,0.25,-0.281,4.111,32.0,-4.08,71.9,8.24
6.0,2.3011,2.3104,2.302,0.082,0.031,0.1,0.3138,0.0625,0.0625,0.217,3.451,37.0,-0.282,6.0,9.51
7.0,2.3007,2.3092,2.3007,0.082,0.062,0.1,0.2098,0.01562,0.01562,0.002,32.21,36.0,-31.0,0.651,10.84
8.0,2.3044,2.3086,2.3007,0.082,0.062,0.1,0.3054,0.003906,0.003906,0.791,83.67,39.0,-6.82,0.144,12.11
9.0,2.2936,2.3071,2.301,0.082,0.188,0.1,0.4088,0.007812,0.007812,1.047,48.48,42.0,-0.357,4.53,13.33
10.0,2.3019,2.3067,2.3004,0.082,0.094,0.1,0.1232,0.01562,0.01562,0.631,10.87,37.0,-4.35,2.4,14.53
11.0,2.3057,2.3066,2.3014,0.082,0.062,0.1,0.1095,0.01563,0.01562,0.795,5.681,37.0,-1.4,5.24,15.65
12.0,2.3054,2.3065,2.3019,0.082,0.062,0.1,0.0812,0.03125,0.03125,0.676,2.455,35.0,-0.398,0.749,16.86
13.0,2.2966,2.3058,2.3024,0.086,0.125,0.1,0.2803,0.03125,0.03125,1.079,9.176,38.0,-0.32,0.14,18.08
14.0,2.2963,2.3052,2.3019,0.082,0.219,0.1,0.1789,0.0625,0.0625,0.596,21.98,36.0,-19.4,0.187,19.06
15.0,2.3084,2.3054,2.3027,0.082,0.125,0.1,1.343,0.0625,0.0625,0.053,76.13,35.0,-56.6,7.87,20.44
16.0,2.3061,2.3054,2.3027,0.082,0.062,0.1,1.043,0.01563,0.01562,0.494,69.61,39.0,-6.84,2.45,21.89
17.0,2.2931,2.3047,2.2991,0.082,0.094,0.1,0.3862,0.01563,0.01562,0.74,13.42,37.0,-4.88,44.6,23.03
18.0,2.2951,2.3042,2.2989,0.082,0.125,0.1,0.1861,0.01562,0.01562,0.857,8.715,36.0,-6.59,35.6,24.16
19.0,2.2957,2.3038,2.2993,0.082,0.125,0.1,0.1625,0.03125,0.03125,-1.013,21.84,36.0,-19.6,0.971,25.3
20.0,2.3016,2.3037,2.2993,0.082,0.062,0.1,0.1507,0.007813,0.007812,1.166,13.47,37.0,-2.93,28.9,26.43
21.0,2.3131,2.3042,2.299,0.082,0.0,0.1,0.1944,0.01562,0.01562,0.784,10.92,37.0,-2.84,12.7,27.59
22.0,2.303,2.3043,2.3002,0.082,0.094,0.1,0.1162,0.03125,0.03125,0.066,14.35,36.0,-12.1,0.979,28.85
23.0,2.3008,2.3043,2.3002,0.082,0.031,0.1,0.1418,0.007813,0.007812,0.821,18.08,39.0,-0.376,1.61,30.14
24.0,2.2853,2.2997,2.3003,0.082,0.125,0.1,0.5196,0.01563,0.01562,0.596,64.31,35.0,-32.7,0.621,31.45
25.0,2.281,2.2994,2.2987,0.082,0.094,0.1,0.3877,0.01562,0.01562,1.438,16.06,39.0,-0.745,21.0,32.56
26.0,2.2999,2.2994,2.2995,0.082,0.062,0.1,1.091,0.03125,0.03125,0.917,24.35,38.0,-2.37,24.6,33.83
27.0,2.3447,2.3016,2.3066,0.082,0.062,0.1,1.212,0.0625,0.0625,0.89,9.582,36.0,-1.42,62.1,35.24
28.0,2.2829,2.3005,2.3022,0.082,0.188,0.1,0.4547,0.125,0.125,-0.249,4.938,35.0,-3.01,15.8,36.62
29.0,2.3039,2.301,2.3022,0.082,0.031,0.1,0.6962,0.03125,0.03125,0.141,69.7,35.0,-50.5,1.16,38.12
30.0,2.3012,2.301,2.3007,0.082,0.125,0.1,0.2795,0.007813,0.007812,0.508,59.61,37.0,-24.8,1.6,39.34
31.0,2.2993,2.3007,2.3016,0.082,0.062,0.1,0.08454,0.007813,0.007812,0.378,36.02,35.0,-25.9,0.526,40.56
