step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,wall_clock_s
680.0,2.3027,2.3025,2.3025,0.094,0.094,0.1,0.003757,0.0003757,2.08
690.0,2.3025,2.3025,2.3025,0.098,0.094,0.1,0.002213,0.0002213,2.11
700.0,2.3025,2.3025,2.3025,0.098,0.125,0.1,0.002964,0.0002964,2.14
710.0,2.3026,2.3025,2.3025,0.098,0.156,0.1,0.001355,0.0001355,2.17
720.0,2.3025,2.3025,2.3025,0.098,0.125,0.1,0.001534,0.0001534,2.2
730.0,2.3026,2.3025,2.3025,0.098,0.094,0.1,0.001942,0.0001942,2.23
740.0,2.3025,2.3025,2.3025,0.098,0.188,0.1,0.006073,0.0006073,2.26
750.0,2.3026,2.3025,2.3024,0.098,0.031,0.1,0.002619,0.0002619,2.29
760.0,2.3026,2.3025,2.3024,0.105,0.094,0.1,0.001927,0.0001927,2.31
770.0,2.3026,2.3025,2.3024,0.105,0.094,0.1,0.002137,0.0002137,2.34
780.0,2.3027,2.3026,2.3024,0.102,0.0,0.1,0.003033,0.0003033,2.37
790.0,2.3023,2.3025,2.3024,0.105,0.125,0.1,0.004613,0.0004613,2.4
800.0,2.3025,2.3025,2.3024,0.102,0.125,0.1,0.002688,0.0002688,2.43
810.0,2.3027,2.3025,2.3024,0.102,0.188,0.1,0.001991,0.0001991,2.46
820.0,2.3025,2.3025,2.3024,0.102,0.156,0.1,0.001971,0.0001971,2.49
830.0,2.3025,2.3025,2.3024,0.102,0.281,0.1,0.001723,0.0001723,2.52
840.0,2.3025,2.3025,2.3024,0.094,0.094,0.1,0.002388,0.0002388,2.55
850.0,2.3021,2.3025,2.3024,0.094,0.219,0.1,0.0122,0.00122,2.58
860.0,2.3026,2.3025,2.3024,0.102,0.031,0.1,0.002263,0.0002263,2.61
870.0,2.3026,2.3025,2.3024,0.102,0.031,0.1,0.00438,0.000438,2.64
880.0,2.3024,2.3025,2.3024,0.102,0.188,0.1,0.003692,0.0003692,2.67
890.0,2.3023,2.3025,2.3024,0.102,0.125,0.1,0.006241,0.0006241,2.69
900.0,2.3025,2.3025,2.3024,0.105,0.25,0.1,0.002501,0.0002501,2.72
910.0,2.3026,2.3025,2.3024,0.105,0.188,0.1,0.002385,0.0002385,2.75
920.0,2.3025,2.3025,2.3024,0.105,0.125,0.1,0.002636,0.0002636,2.78
930.0,2.3022,2.3025,2.3024,0.109,0.156,0.1,0.008358,0.0008358,2.81
940.0,2.3025,2.3025,2.3024,0.105,0.156,0.1,0.00151,0.000151,2.84
950.0,2.3026,2.3026,2.3024,0.102,0.031,0.1,0.002313,0.0002313,2.87
960.0,2.3027,2.3025,2.3024,0.105,0.094,0.1,0.003802,0.0003802,2.9
970.0,2.3023,2.3025,2.3024,0.094,0.156,0.1,0.005715,0.0005715,2.93
980.0,2.3024,2.3025,2.3024,0.094,0.156,0.1,0.002004,0.0002004,2.96
990.0,2.3028,2.3026,2.3024,0.102,0.094,0.1,0.003738,0.0003738,2.99
1000.0,2.3025,2.3025,2.3024,0.094,0.125,0.1,0.002294,0.0002294,3.01
1010.0,2.3025,2.3025,2.3024,0.098,0.156,0.1,0.002241,0.0002241,3.04
1020.0,2.3026,2.3025,2.3024,0.094,0.094,0.1,0.006388,0.0006388,3.07
1030.0,2.3026,2.3025,2.3024,0.098,0.031,0.1,0.005496,0.0005496,3.1
1040.0,2.3024,2.3025,2.3024,0.098,0.062,0.1,0.003242,0.0003242,3.13
1050.0,2.3024,2.3025,2.3024,0.098,0.062,0.1,0.005004,0.0005004,3.16
1060.0,2.3025,2.3025,2.3024,0.098,0.125,0.1,0.001957,0.0001957,3.19
1070.0,2.3024,2.3025,2.3024,0.102,0.188,0.1,0.006729,0.0006729,3.22
1080.0,2.3024,2.3025,2.3024,0.105,0.125,0.1,0.005152,0.0005152,3.25
1090.0,2.3025,2.3025,2.3024,0.105,0.156,0.1,0.004558,0.0004558,3.28
1100.0,2.3028,2.3025,2.3024,0.102,0.031,0.1,0.004132,0.0004132,3.31
1110.0,2.3026,2.3025,2.3024,0.102,0.156,0.1,0.003299,0.0003299,3.34
1120.0,2.3025,2.3025,2.3024,0.098,0.094,0.1,0.002204,0.0002204,3.37
1130.0,2.3027,2.3025,2.3024,0.102,0.125,0.1,0.006592,0.0006592,3.4
1140.0,2.3024,2.3025,2.3024,0.102,0.219,0.1,0.002495,0.0002495,3.45
1150.0,2.3026,2.3025,2.3024,0.102,0.125,0.1,0.001638,0.0001638,3.49
1160.0,2.3025,2.3025,2.3024,0.098,0.125,0.1,0.005855,0.0005855,3.52
1170.0,2.3023,2.3025,2.3024,0.102,0.062,0.1,0.00342,0.000342,3.55
1180.0,2.3021,2.3024,2.3024,0.102,0.125,0.1,0.007026,0.0007026,3.58
1190.0,2.3021,2.3024,2.3024,0.102,0.156,0.1,0.006873,0.0006873,3.61
1200.0,2.3025,2.3024,2.3024,0.102,0.156,0.1,0.003461,0.0003461,3.64
1210.0,2.3024,2.3024,2.3024,0.105,0.219,0.1,0.002497,0.0002497,3.67
1220.0,2.3025,2.3025,2.3024,0.105,0.156,0.1,0.003144,0.0003144,3.7
1230.0,2.3027,2.3026,2.3024,0.102,0.094,0.1,0.003307,0.0003307,3.73
1240.0,2.3026,2.3026,2.3024,0.102,0.094,0.1,0.003118,0.0003118,3.75
1250.0,2.3025,2.3025,2.3024,0.098,0.125,0.1,0.00378,0.000378,3.78
1260.0,2.3022,2.3025,2.3024,0.094,0.094,0.1,0.004176,0.0004176,3.81
1270.0,2.3026,2.3025,2.3024,0.094,0.219,0.1,0.002353,0.0002353,3.84
1280.0,2.3026,2.3025,2.3024,0.094,0.156,0.1,0.004046,0.0004046,3.87
1290.0,2.3025,2.3025,2.3024,0.098,0.0,0.1,0.004329,0.0004329,3.9
1300.0,2.3025,2.3025,2.3024,0.094,0.094,0.1,0.003105,0.0003105,3.93
1310.0,2.3024,2.3025,2.3024,0.094,0.125,0.1,0.004168,0.0004168,3.96
1320.0,2.3024,2.3025,2.3024,0.094,0.188,0.1,0.005054,0.0005054,3.99
1330.0,2.3026,2.3025,2.3024,0.094,0.094,0.1,0.00232,0.000232,4.02
1340.0,2.3027,2.3025,2.3024,0.094,0.094,0.1,0.003252,0.0003252,4.06
