step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,trust_radius,rho,lambda_star,tr_secular_evals,eig_min,eig_max,wall_clock_s
0.0,2.303,2.303,2.3024,0.082,0.156,0.1,0.00638,1.0,1.0,-1.112,0.1289,35.0,-0.127,0.0981,1.32
1.0,2.3022,2.3026,2.3024,0.082,0.156,0.1,0.01552,0.25,0.25,-5.97,0.4271,34.0,-0.377,0.129,2.69
2.0,2.3024,2.3025,2.3024,0.082,0.219,0.1,0.01058,0.0625,0.0625,1.068,0.2795,34.0,-0.14,0.107,4.24
3.0,2.3038,2.3028,2.3023,0.086,0.0,0.1,0.02045,0.125,0.125,1.428,0.2377,34.0,-0.202,0.53,5.56
4.0,2.302,2.3027,2.3022,0.055,0.062,0.1,0.02352,0.25,0.25,-0.641,0.8363,34.0,-0.749,0.435,6.91
5.0,2.3034,2.3028,2.3022,0.055,0.094,0.1,0.0436,0.0625,0.0625,-0.633,4.292,32.0,-3.72,1.99,8.27
6.0,2.3051,2.3031,2.3022,0.055,0.062,0.1,0.09679,0.01563,0.01562,1.0,3.883,35.0,-1.51,4.19,9.46
7.0,2.3028,2.3031,2.3023,0.066,0.094,0.1,0.04222,0.03125,0.03125,1.147,2.345,36.0,-1.27,1.96,10.61
8.0,2.3023,2.303,2.3028,0.07,0.094,0.1,0.05374,0.0625,0.0625,-0.059,2.762,33.0,-2.0,0.527,11.9
9.0,2.3026,2.303,2.3028,0.07,0.062,0.1,0.01333,0.01563,0.01562,1.0,0.7892,34.0,-0.22,0.161,13.06
10.0,2.3016,2.3028,2.3027,0.055,0.031,0.1,0.05566,0.03125,0.03125,1.183,3.889,36.0,-2.25,0.372,14.31
11.0,2.2993,2.3025,2.303,0.074,0.125,0.1,0.1072,0.0625,0.0625,-1.539,2.916,36.0,-1.69,1.79,15.45
12.0,2.3024,2.3025,2.303,0.074,0.031,0.1,0.05221,0.01563,0.01562,1.064,8.28,35.0,-5.79,0.981,16.73
13.0,2.3016,2.3025,2.3023,0.082,0.094,0.1,0.03398,0.03125,0.03125,1.198,2.227,36.0,-1.22,0.489,18.11
14.0,2.2973,2.3021,2.3014,0.074,0.062,0.1,0.8792,0.0625,0.0625,0.328,78.19,35.0,-64.8,6.61,19.28
15.0,2.2636,2.2997,2.3143,0.082,0.094,0.1,0.572,0.0625,0.0625,0.448,7.031,36.0,-5.21,23.4,20.48
16.0,2.3191,2.3008,2.3065,0.07,0.094,0.1,0.8237,0.0625,0.0625,0.625,8.971,35.0,-4.43,47.1,21.84
17.0,2.2954,2.3005,2.301,0.07,0.062,0.1,0.3712,0.0625,0.0625,-0.603,15.34,35.0,-9.82,4.22,23.06
18.0,2.2802,2.2995,2.301,0.07,0.125,0.1,0.2618,0.01563,0.01562,1.033,25.68,35.0,-15.0,2.15,24.32
19.0,2.3352,2.3013,2.3025,0.074,0.094,0.1,1.12,0.03125,0.03125,0.678,38.81,37.0,-12.6,13.7,25.58
20.0,2.2988,2.301,2.3013,0.062,0.062,0.1,0.1912,0.03125,0.03125,1.795,14.93,35.0,-9.37,5.84,26.58
21.0,2.298,2.3008,2.302,0.074,0.094,0.1,0.427,0.0625,0.0625,0.369,18.94,35.0,-13.2,6.09,27.79
22.0,2.2595,2.2987,2.3471,0.078,0.094,0.1,0.793,0.0625,0.0625,1.007,15.72,37.0,-6.49,78.1,28.96
23.0,2.3977,2.3034,2.3736,0.086,0.062,0.1,5.043,0.125,0.125,0.446,11.34,31.0,-10.8,254.0,30.34
24.0,2.2412,2.3004,2.3159,0.086,0.156,0.1,0.5052,0.125,0.125,0.797,8.706,35.0,-5.65,53.6,31.66
