step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,trust_radius,rho,lambda_star,tr_secular_evals,eig_min,eig_max,wall_clock_s
0.0,2.3028,2.3028,2.3025,0.125,0.031,0.1,0.005902,1.0,1.0,-0.119,0.1443,35.0,-0.142,0.222,1.48
1.0,2.3027,2.3028,2.3025,0.125,0.094,0.1,0.00565,0.25,0.25,-0.332,0.111,35.0,-0.105,0.247,2.86
2.0,2.3023,2.3026,2.3025,0.125,0.188,0.1,0.005906,0.0625,0.0625,-0.274,0.3304,34.0,-0.254,0.0913,4.39
3.0,2.3025,2.3026,2.3025,0.125,0.125,0.1,0.009363,0.01563,0.01562,0.994,0.5315,34.0,-0.133,1.53,6.01
4.0,2.3031,2.3027,2.3025,0.148,0.094,0.1,0.01113,0.03125,0.03125,0.513,0.6536,34.0,-0.311,0.118,7.23
5.0,2.3029,2.3027,2.3026,0.125,0.094,0.1,0.005629,0.03125,0.03125,0.526,0.2891,34.0,-0.18,0.0753,8.47
6.0,2.3025,2.3027,2.3026,0.125,0.125,0.1,0.002232,0.03125,0.03125,0.945,0.09558,35.0,-0.0603,0.103,9.73
7.0,2.3025,2.3027,2.3025,0.137,0.125,0.1,0.003699,0.0625,0.0625,0.274,0.1186,35.0,-0.0896,0.0371,10.84
8.0,2.3031,2.3027,2.3025,0.105,0.125,0.1,0.00993,0.0625,0.0625,0.904,0.1705,34.0,-0.0466,0.0371,11.97
9.0,2.3024,2.3027,2.3025,0.141,0.062,0.1,0.005979,0.125,0.125,2.345,0.05079,35.0,-0.022,0.0387,13.23
10.0,2.3006,2.3025,2.3026,0.066,0.188,0.1,0.0296,0.25,0.25,-0.707,1.415,33.0,-1.33,0.446,14.38
11.0,2.3052,2.3027,2.3026,0.066,0.031,0.1,0.08538,0.0625,0.0625,0.254,3.16,36.0,-2.12,1.16,15.66
12.0,2.3027,2.3027,2.3023,0.082,0.125,0.1,0.007216,0.0625,0.0625,0.432,0.2381,34.0,-0.233,0.0719,16.72
13.0,2.3032,2.3028,2.3023,0.07,0.094,0.1,0.02035,0.0625,0.0625,0.739,0.2182,34.0,-0.103,0.774,17.88
14.0,2.3025,2.3027,2.3022,0.133,0.094,0.1,0.01127,0.0625,0.0625,3.703,0.1722,34.0,-0.08,0.235,19.04
15.0,2.3028,2.3027,2.3021,0.16,0.062,0.1,0.04802,0.125,0.125,0.116,0.4385,34.0,-0.262,5.95,20.47
16.0,2.3029,2.3027,2.3023,0.133,0.031,0.1,0.008301,0.03125,0.03125,1.369,0.3116,34.0,-0.119,0.144,21.7
17.0,2.3023,2.3027,2.3022,0.152,0.219,0.1,0.01813,0.0625,0.0625,0.444,0.5011,34.0,-0.269,0.0296,22.95
18.0,2.3021,2.3027,2.3023,0.113,0.125,0.1,0.007329,0.0625,0.0625,1.199,0.1278,35.0,-0.0462,0.173,24.13
19.0,2.3029,2.3027,2.3021,0.141,0.156,0.1,0.01647,0.125,0.125,1.322,0.3065,34.0,-0.232,0.256,25.44
20.0,2.3023,2.3027,2.3011,0.074,0.062,0.1,0.05493,0.25,0.25,-0.001,12.82,31.0,-12.6,1.66,26.71
21.0,2.3037,2.3027,2.3011,0.074,0.125,0.1,0.2645,0.0625,0.0625,0.082,8.946,35.0,-5.24,1.65,27.93
22.0,2.3001,2.3026,2.3011,0.074,0.062,0.1,0.08431,0.01563,0.01562,-0.437,13.93,35.0,-9.57,5.17,29.14
23.0,2.2965,2.3023,2.3011,0.074,0.156,0.1,0.2483,0.003906,0.003906,0.732,73.31,38.0,-11.6,2.92,30.35
24.0,2.2961,2.302,2.3012,0.074,0.188,0.1,0.2907,0.003906,0.003906,1.075,57.67,41.0,-0.321,21.8,31.73
25.0,2.3058,2.3021,2.3011,0.074,0.062,0.1,0.2626,0.007812,0.007812,1.045,31.94,38.0,-4.98,6.55,33.25
26.0,2.299,2.3019,2.3011,0.078,0.094,0.1,0.04424,0.01562,0.01562,0.243,23.11,30.0,-22.6,1.65,34.33
27.0,2.3058,2.3021,2.3008,0.074,0.031,0.1,0.03398,0.003906,0.003906,0.984,8.667,35.0,-6.26,3.26,35.61
28.0,2.3062,2.3023,2.3008,0.078,0.031,0.1,0.231,0.007813,0.007812,1.208,42.48,37.0,-15.4,0.989,37.07
29.0,2.3029,2.3023,2.3004,0.086,0.031,0.1,0.1407,0.01562,0.01562,0.247,36.48,35.0,-28.2,1.02,38.25
30.0,2.3049,2.3025,2.3011,0.074,0.094,0.1,0.1011,0.003906,0.003906,1.017,21.17,39.0,-0.78,6.35,39.47
31.0,2.2987,2.3022,2.3011,0.078,0.156,0.1,0.09904,0.007812,0.007812,0.843,12.66,38.0,-1.19,0.789,40.48
32.0,2.2994,2.302,2.3011,0.078,0.094,0.1,0.1317,0.01563,0.01562,0.703,13.46,37.0,-5.35,0.93,41.59
33.0,2.2992,2.3018,2.3007,0.082,0.125,0.1,0.04642,0.01562,0.01562,0.879,3.58,33.0,-3.49,15.8,42.83
34.0,2.3037,2.3019,2.3004,0.078,0.062,0.1,0.1184,0.03125,0.03125,0.194,4.695,35.0,-1.6,0.99,43.84
35.0,2.3016,2.3018,2.3005,0.102,0.062,0.1,0.04104,0.007813,0.007812,1.106,2.24,36.0,-0.846,16.5,45.09
36.0,2.3021,2.3018,2.3004,0.102,0.125,0.1,0.1474,0.01563,0.01562,0.587,5.604,36.0,-0.511,17.0,46.44
37.0,2.3,2.3017,2.3006,0.105,0.281,0.1,0.0641,0.01563,0.01562,1.063,3.171,37.0,-0.145,1.58,47.77
38.0,2.3002,2.3016,2.3006,0.098,0.219,0.1,0.06659,0.03125,0.03125,-0.051,13.2,36.0,-11.6,0.217,49.05
39.0,2.3013,2.3015,2.3006,0.098,0.25,0.1,0.04047,0.007812,0.007812,1.065,4.743,37.0,-1.05,4.37,50.24
40.0,2.3023,2.3015,2.3006,0.098,0.125,0.1,0.07073,0.01563,0.01562,0.975,3.684,35.0,-0.878,20.4,51.55
41.0,2.3014,2.3014,2.3004,0.098,0.125,0.1,0.3084,0.03125,0.03125,0.055,7.247,38.0,-0.46,4.05,52.84
42.0,2.3018,2.3014,2.3004,0.098,0.125,0.1,0.1079,0.007813,0.007812,1.137,6.645,38.0,-0.197,27.5,54.01
43.0,2.3041,2.3018,2.3003,0.09,0.219,0.1,0.1145,0.01562,0.01562,1.18,2.875,37.0,-0.162,9.29,55.2
44.0,2.301,2.3021,2.3005,0.098,0.156,0.1,0.07791,0.03125,0.03125,-0.007,25.82,36.0,-23.8,4.16,56.42
45.0,2.299,2.3017,2.3005,0.098,0.125,0.1,0.122,0.007813,0.007812,1.122,10.86,37.0,-2.5,30.0,57.82
46.0,2.2979,2.3017,2.3004,0.098,0.25,0.1,0.04157,0.01563,0.01562,0.137,12.89,31.0,-12.0,2.17,58.91
47.0,2.2994,2.3014,2.3002,0.102,0.125,0.1,0.397,0.003906,0.003906,0.941,77.13,39.0,-4.05,34.9,60.09
48.0,2.3047,2.3013,2.3003,0.098,0.062,0.1,0.1985,0.007813,0.007812,0.872,26.23,38.0,-3.17,3.6,61.23
49.0,2.299,2.3011,2.3004,0.098,0.219,0.1,0.05771,0.01562,0.01562,1.043,1.648,36.0,-0.403,18.3,62.42
50.0,2.3053,2.3011,2.3003,0.094,0.094,0.1,0.1645,0.03125,0.03125,0.259,11.06,35.0,-6.53,1.71,63.79
51.0,2.2998,2.3012,2.3006,0.117,0.156,0.1,0.09427,0.03125,0.03125,0.188,3.435,35.0,-0.939,1.03,65.23
52.0,2.3011,2.3013,2.3002,0.094,0.125,0.1,0.05223,0.007813,0.007812,0.091,26.35,36.0,-23.7,0.473,66.53
53.0,2.3,2.3013,2.3002,0.094,0.094,0.1,0.04366,0.001953,0.001953,0.752,25.25,35.0,-20.1,3.27,67.74
54.0,2.2983,2.301,2.3002,0.09,0.156,0.1,0.0472,0.003906,0.003906,0.152,41.21,36.0,-34.5,0.481,69.4
55.0,2.3032,2.3011,2.3002,0.094,0.031,0.1,0.05395,0.0009766,0.0009766,1.023,50.26,40.0,-0.602,14.3,70.75
56.0,2.3026,2.3011,2.3002,0.09,0.156,0.1,0.1136,0.001953,0.001953,0.999,57.3,38.0,-11.2,3.14,72.04
57.0,2.3023,2.3012,2.3002,0.09,0.094,0.1,0.173,0.003906,0.003906,0.938,51.74,38.0,-9.04,0.951,73.2
58.0,2.3007,2.3013,2.3001,0.09,0.156,0.1,0.1256,0.007812,0.007812,1.598,6.294,36.0,-0.588,21.3,74.47
59.0,2.3012,2.3013,2.3002,0.09,0.062,0.1,0.03428,0.01563,0.01562,0.866,2.081,35.0,-0.245,19.7,75.72
60.0,2.3007,2.3012,2.3001,0.09,0.156,0.1,0.132,0.03125,0.03125,0.154,2.952,37.0,-0.0852,3.23,76.91
61.0,2.3003,2.3011,2.2997,0.094,0.094,0.1,0.07065,0.007813,0.007812,0.773,10.86,37.0,-4.28,6.72,78.12
62.0,2.3017,2.3011,2.2994,0.094,0.125,0.1,0.2623,0.01562,0.01562,1.609,16.94,36.0,-3.29,3.92,79.42
