step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,trust_radius,rho,lambda_star,tr_secular_evals,eig_min,eig_max,wall_clock_s
42.0,2.6285,2.6409,2.5649,0.137,0.219,0.1,6.873,0.003906,0.003906,1.854,2798.0,37.0,-1390.0,320.0,44.97
43.0,2.8153,2.6467,2.5628,0.129,0.125,0.1,5.242,0.007813,0.007812,0.213,1533.0,35.0,-1280.0,12500.0,45.89
44.0,2.8071,2.6556,2.5651,0.133,0.125,0.1,11.22,0.001953,0.001953,1.619,2009.0,40.0,-91.7,9500.0,46.87
45.0,2.5071,2.6434,2.5648,0.129,0.031,0.1,8.566,0.003906,0.003906,0.072,2988.0,37.0,-1080.0,370.0,47.72
46.0,2.6824,2.6454,2.5648,0.129,0.031,0.1,7.958,0.0009766,0.0009766,0.939,8130.0,40.0,-356.0,13900.0,48.5
47.0,2.9434,2.6675,2.5654,0.129,0.0,0.1,8.025,0.001953,0.001953,0.422,22230.0,36.0,-19200.0,433.0,49.5
48.0,2.4563,2.6488,2.5624,0.133,0.219,0.1,8.703,0.001953,0.001953,0.653,7329.0,37.0,-3230.0,162.0,50.45
49.0,2.5709,2.64,2.5608,0.137,0.094,0.1,4.846,0.001953,0.001953,0.77,1662.0,39.0,-137.0,6770.0,51.42
50.0,2.537,2.6393,2.5625,0.137,0.125,0.1,7.504,0.003906,0.003906,0.798,1799.0,39.0,-171.0,3520.0,52.39
51.0,2.5426,2.6355,2.5676,0.137,0.062,0.1,7.068,0.007813,0.007812,-0.011,5712.0,36.0,-4920.0,2130.0,53.51
52.0,2.4268,2.6098,2.5676,0.137,0.094,0.1,20.61,0.001953,0.001953,1.308,5621.0,41.0,-128.0,6660.0,54.44
53.0,2.5299,2.6107,2.5668,0.141,0.094,0.1,17.61,0.003906,0.003906,0.977,3035.0,41.0,-188.0,2810.0,55.51
54.0,2.6167,2.6137,2.5707,0.137,0.062,0.1,14.42,0.007812,0.007812,0.568,1204.0,38.0,-256.0,14000.0,56.65
55.0,2.4196,2.6098,2.5585,0.137,0.031,0.1,5.105,0.007813,0.007812,0.041,14830.0,36.0,-14400.0,613.0,57.77
56.0,2.6901,2.6092,2.5585,0.137,0.125,0.1,9.089,0.001953,0.001953,0.699,7665.0,36.0,-7170.0,4440.0,58.76
57.0,2.6189,2.6121,2.5626,0.141,0.094,0.1,5.546,0.001953,0.001953,0.404,5024.0,35.0,-3180.0,1210.0,59.82
58.0,2.5486,2.6072,2.5582,0.137,0.094,0.1,4.674,0.001953,0.001953,1.483,2220.0,36.0,-614.0,1290.0,61.0
59.0,2.7093,2.6222,2.5575,0.141,0.094,0.1,16.06,0.003906,0.003906,0.46,4998.0,38.0,-1190.0,1150.0,62.0
60.0,2.6511,2.6206,2.5592,0.137,0.062,0.1,6.95,0.003906,0.003906,1.023,718.9,37.0,-356.0,10200.0,63.02
61.0,2.813,2.6257,2.5537,0.133,0.156,0.1,6.105,0.007812,0.007812,1.023,3906.0,35.0,-3330.0,35.8,64.11
62.0,2.421,2.6154,2.5613,0.133,0.062,0.1,7.328,0.01562,0.01562,0.571,305.0,35.0,-186.0,5390.0,65.24
63.0,2.9356,2.6214,2.5578,0.129,0.062,0.1,8.17,0.01563,0.01562,0.122,7528.0,36.0,-7130.0,722.0,66.32
64.0,2.5586,2.6089,2.5814,0.145,0.125,0.1,4.751,0.003906,0.003906,1.501,1324.0,35.0,-791.0,4330.0,67.5
65.0,2.7409,2.6206,2.5927,0.145,0.094,0.1,10.5,0.007812,0.007812,0.207,7034.0,36.0,-6380.0,396.0,68.55
66.0,2.6086,2.6169,2.5719,0.137,0.125,0.1,9.237,0.001953,0.001953,1.195,5153.0,35.0,-3240.0,836.0,69.47
67.0,2.4285,2.5912,2.5664,0.141,0.031,0.1,8.632,0.003906,0.003906,0.263,6170.0,35.0,-4170.0,1850.0,70.46
68.0,2.6832,2.6025,2.5559,0.141,0.031,0.1,5.369,0.003906,0.003906,1.151,1410.0,37.0,-540.0,5800.0,71.6
69.0,2.7201,2.61,2.5562,0.137,0.094,0.1,11.34,0.007812,0.007812,1.538,1137.0,40.0,-53.4,1980.0,72.58
70.0,2.8096,2.6236,2.5639,0.137,0.062,0.1,11.79,0.01563,0.01562,0.093,5530.0,36.0,-4960.0,1560.0,73.66
71.0,2.5951,2.6263,2.5639,0.137,0.031,0.1,7.761,0.003906,0.003906,0.035,16380.0,36.0,-15100.0,62.7,74.59
72.0,2.432,2.6265,2.5639,0.137,0.219,0.1,8.49,0.0009766,0.0009766,1.004,7348.0,39.0,-798.0,3170.0,75.61
73.0,2.868,2.6434,2.5644,0.137,0.031,0.1,13.24,0.001953,0.001953,0.554,13400.0,35.0,-9580.0,405.0,76.7
74.0,2.6344,2.6443,2.5617,0.133,0.062,0.1,4.107,0.001953,0.001953,1.007,2060.0,42.0,-57.3,3660.0,77.94
75.0,2.7413,2.6604,2.5607,0.137,0.031,0.1,11.23,0.003906,0.003906,0.618,2855.0,38.0,-559.0,690.0,78.94
76.0,2.6441,2.6581,2.5606,0.141,0.062,0.1,26.5,0.003906,0.003906,0.566,9691.0,37.0,-4010.0,1310.0,79.98
77.0,2.449,2.6496,2.5608,0.137,0.125,0.1,1.976,0.003906,0.003906,-0.051,9247.0,36.0,-9170.0,6250.0,81.02
78.0,2.4536,2.6449,2.5608,0.137,0.094,0.1,14.56,0.0009766,0.0009766,0.96,15070.0,38.0,-2730.0,1680.0,82.03
79.0,2.6103,2.6399,2.5609,0.141,0.094,0.1,10.55,0.001953,0.001953,0.361,10320.0,35.0,-6750.0,4010.0,83.11
80.0,2.4354,2.6291,2.5562,0.141,0.156,0.1,10.19,0.001953,0.001953,0.584,9112.0,37.0,-4280.0,318.0,84.22
81.0,2.5889,2.6179,2.5611,0.141,0.062,0.1,5.415,0.001953,0.001953,0.598,6950.0,35.0,-5220.0,4550.0,85.37
82.0,2.6172,2.6277,2.5626,0.137,0.125,0.1,20.99,0.001953,0.001953,0.928,11060.0,38.0,-1620.0,1170.0,86.37
83.0,2.7025,2.6161,2.5599,0.141,0.062,0.1,8.85,0.003906,0.003906,1.228,1758.0,39.0,-131.0,2800.0,87.34
84.0,2.5683,2.6166,2.5575,0.141,0.125,0.1,13.93,0.007813,0.007812,0.96,1467.0,36.0,-406.0,1150.0,88.34
85.0,2.4392,2.6015,2.5562,0.141,0.094,0.1,7.213,0.01563,0.01562,0.25,593.2,35.0,-306.0,5010.0,89.22
86.0,2.3594,2.589,2.5428,0.141,0.094,0.1,15.39,0.003906,0.003906,0.794,5463.0,37.0,-1840.0,147.0,90.18
87.0,2.5376,2.5945,2.539,0.141,0.094,0.1,28.65,0.007813,0.007812,-0.045,3295.0,37.0,-1580.0,2110.0,91.48
88.0,2.709,2.5958,2.539,0.141,0.094,0.1,11.6,0.001953,0.001953,1.03,4515.0,39.0,-486.0,2670.0,92.46
89.0,2.6511,2.5923,2.5414,0.141,0.094,0.1,3.664,0.003906,0.003906,1.672,1312.0,35.0,-1120.0,106.0,93.46
90.0,2.4253,2.5731,2.5376,0.145,0.031,0.1,7.223,0.007812,0.007812,0.648,2436.0,35.0,-1600.0,90.6,94.65
