step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,wall_clock_s
710.0,2.0989,2.1771,2.1988,0.152,0.125,0.03,0.7964,0.02389,2.32
720.0,2.0878,2.1844,2.1753,0.211,0.156,0.03,1.301,0.03902,2.36
730.0,2.1681,2.1832,2.2021,0.148,0.156,0.03,1.497,0.04491,2.39
740.0,2.1494,2.1883,2.1618,0.172,0.125,0.03,2.409,0.07227,2.42
750.0,2.2162,2.2044,2.1644,0.164,0.094,0.03,1.234,0.03703,2.45
760.0,2.2931,2.1866,2.2787,0.137,0.156,0.03,2.084,0.06251,2.48
770.0,2.2349,2.1752,2.1482,0.168,0.188,0.03,1.266,0.03799,2.52
780.0,2.2025,2.1741,2.176,0.176,0.156,0.03,2.391,0.07173,2.56
790.0,2.1068,2.1663,2.1818,0.191,0.125,0.03,1.885,0.05656,2.59
800.0,2.1213,2.1846,2.1499,0.188,0.25,0.03,0.6363,0.01909,2.63
810.0,2.1269,2.165,2.1238,0.191,0.188,0.03,1.717,0.0515,2.68
820.0,2.2677,2.1527,2.1401,0.141,0.188,0.03,1.912,0.05737,2.74
830.0,1.998,2.1414,2.1648,0.16,0.219,0.03,2.433,0.07298,2.78
840.0,2.1044,2.1004,2.1722,0.16,0.094,0.03,2.183,0.06548,2.81
850.0,2.3238,2.1269,2.137,0.164,0.094,0.03,3.632,0.1089,2.85
860.0,2.1107,2.1867,2.143,0.137,0.125,0.03,1.449,0.04346,2.89
870.0,2.1601,2.193,2.1874,0.156,0.188,0.03,3.201,0.09602,2.92
880.0,2.1791,2.1709,2.1404,0.207,0.156,0.03,0.9018,0.02705,2.95
890.0,2.1609,2.1742,2.1761,0.145,0.094,0.03,2.095,0.06286,2.99
900.0,2.052,2.1753,2.1396,0.16,0.25,0.03,4.046,0.1214,3.02
910.0,2.2444,2.1829,2.149,0.172,0.094,0.03,1.34,0.04021,3.05
920.0,2.2007,2.1752,2.1657,0.125,0.125,0.03,1.903,0.05709,3.08
930.0,2.0467,2.1452,2.1116,0.219,0.25,0.03,1.441,0.04324,3.12
940.0,2.119,2.1458,2.1446,0.203,0.156,0.03,1.105,0.03315,3.15
