step,loss,loss_avg10,probe_loss,probe_accuracy,batch_accuracy,lr,grad_norm,step_norm,trust_radius,rho,lambda_star,tr_secular_evals,eig_min,eig_max,wall_clock_s
44.0,2.29,2.297,2.3035,0.062,0.156,0.1,0.6916,0.007813,0.007812,1.012,116.8,36.0,-28.4,0.932,48.39
45.0,2.3189,2.2988,2.3089,0.062,0.094,0.1,1.334,0.01562,0.01562,1.227,6.541,37.0,-1.66,124.0,49.49
46.0,2.3019,2.2997,2.3021,0.062,0.25,0.1,0.06088,0.03125,0.03125,0.918,2.204,35.0,-0.614,8.48,50.61
47.0,2.3173,2.3015,2.3104,0.062,0.0,0.1,1.562,0.0625,0.0625,0.973,2.158,33.0,-1.96,184.0,51.55
48.0,2.3019,2.3041,2.3023,0.062,0.156,0.1,0.05082,0.125,0.125,-272.639,1.927,33.0,-1.56,1.44,52.6
49.0,2.3003,2.3046,2.3023,0.062,0.125,0.1,0.3299,0.03125,0.03125,1.12,1.745,36.0,-0.605,26.8,53.66
50.0,2.3028,2.3056,2.299,0.141,0.062,0.1,0.086,0.0625,0.0625,0.855,0.348,34.0,-0.282,13.0,54.56
51.0,2.2962,2.3067,2.299,0.137,0.062,0.1,0.336,0.125,0.125,-54.534,15.06,36.0,-12.4,0.579,55.64
52.0,2.3038,2.3023,2.299,0.137,0.062,0.1,0.1816,0.03125,0.03125,2.077,15.16,35.0,-9.4,0.235,56.75
53.0,2.3114,2.3037,2.3219,0.062,0.156,0.1,1.285,0.0625,0.0625,0.934,2.686,33.0,-2.51,321.0,57.86
54.0,2.2909,2.3044,2.3177,0.062,0.219,0.1,0.5414,0.125,0.125,-67.199,6.737,36.0,-4.78,23.4,58.9
55.0,2.2953,2.3021,2.3177,0.062,0.156,0.1,0.3623,0.03125,0.03125,-24.991,10.99,37.0,-2.72,6.73,59.86
56.0,2.3685,2.306,2.3177,0.062,0.031,0.1,5.493,0.007813,0.007812,1.193,127.0,39.0,-7.13,609.0,61.25
57.0,2.2955,2.3049,2.3079,0.062,0.125,0.1,0.3042,0.01562,0.01562,1.013,11.34,37.0,-2.51,61.6,62.3
58.0,2.301,2.3042,2.3068,0.062,0.062,0.1,0.2983,0.03125,0.03125,-7.013,29.55,35.0,-20.0,1.2,63.33
59.0,2.2948,2.3043,2.3068,0.062,0.094,0.1,0.7715,0.007812,0.007812,1.035,143.8,37.0,-45.1,1.4,64.36
60.0,2.2993,2.3044,2.3154,0.062,0.094,0.1,1.183,0.01563,0.01562,1.166,6.339,37.0,-2.04,210.0,65.42
61.0,2.3077,2.3041,2.3094,0.062,0.188,0.1,0.2055,0.03125,0.03125,0.995,8.143,35.0,-4.57,25.5,66.48
62.0,2.2785,2.3032,2.3256,0.066,0.094,0.1,0.5452,0.0625,0.0625,-0.012,7.635,35.0,-3.48,205.0,67.43
63.0,2.3054,2.3041,2.3256,0.066,0.094,0.1,1.288,0.01563,0.01562,1.092,6.945,37.0,-1.72,392.0,68.38
64.0,2.3046,2.3048,2.3179,0.066,0.219,0.1,0.8433,0.03125,0.03125,1.057,3.86,35.0,-1.87,154.0,69.58
65.0,2.2942,2.3036,2.3122,0.059,0.156,0.1,0.176,0.0625,0.0625,0.961,2.344,36.0,-1.02,56.7,70.67
66.0,2.2931,2.3031,2.3094,0.059,0.125,0.1,0.7983,0.125,0.125,-24.33,58.82,36.0,-52.4,1.23,71.62
67.0,2.3073,2.3026,2.3094,0.059,0.125,0.1,0.5764,0.03125,0.03125,1.113,1.369,33.0,-0.982,81.8,72.71
68.0,2.3128,2.3032,2.3047,0.059,0.094,0.1,0.6798,0.0625,0.0625,0.872,3.019,33.0,-2.72,64.6,73.79
69.0,2.2924,2.3028,2.3064,0.066,0.156,0.1,0.7258,0.125,0.125,-27.449,39.83,36.0,-34.1,2.54,74.79
70.0,2.3178,2.3035,2.3064,0.066,0.188,0.1,0.8016,0.03125,0.03125,1.068,4.444,36.0,-2.86,49.9,75.88
71.0,2.3089,2.3042,2.2998,0.145,0.094,0.1,0.1053,0.0625,0.0625,0.705,1.301,34.0,-1.24,4.1,76.89
72.0,2.3009,2.304,2.2983,0.141,0.156,0.1,0.04601,0.0625,0.0625,1.053,0.238,34.0,-0.163,3.37,77.96
73.0,2.3069,2.3038,2.2974,0.137,0.094,0.1,0.0509,0.125,0.125,-360.746,1.76,33.0,-1.42,0.653,79.02
74.0,2.3039,2.3045,2.2974,0.137,0.062,0.1,0.02408,0.03125,0.03125,0.946,1.584,33.0,-0.935,0.159,80.04
75.0,2.2979,2.3046,2.3021,0.059,0.125,0.1,0.1127,0.0625,0.0625,-7.093,4.692,36.0,-3.0,10.2,80.96
76.0,2.2912,2.3007,2.3021,0.059,0.125,0.1,0.8014,0.01563,0.01562,1.177,93.72,37.0,-42.6,1.11,81.96
77.0,2.2937,2.3006,2.3178,0.059,0.094,0.1,1.113,0.03125,0.03125,1.019,12.97,37.0,-4.62,252.0,83.24
78.0,2.2864,2.2999,2.3184,0.059,0.062,0.1,0.4003,0.0625,0.0625,-1.614,8.029,35.0,-3.38,55.5,84.23
79.0,2.28,2.2992,2.3184,0.059,0.125,0.1,0.6853,0.01563,0.01562,0.839,45.8,38.0,-7.8,70.2,85.37
80.0,2.3097,2.2997,2.3451,0.059,0.125,0.1,2.123,0.03125,0.03125,1.055,3.848,32.0,-3.1,484.0,86.41
81.0,2.2562,2.2971,2.3255,0.059,0.125,0.1,3.425,0.0625,0.0625,-5.562,394.5,36.0,-340.0,4.56,87.54
82.0,2.298,2.2981,2.3255,0.059,0.094,0.1,1.193,0.01562,0.01562,1.138,5.182,37.0,-1.47,218.0,88.58
83.0,2.3189,2.2987,2.3138,0.059,0.094,0.1,1.711,0.03125,0.03125,1.184,2.606,33.0,-2.52,178.0,89.64
84.0,2.3049,2.2988,2.3032,0.059,0.031,0.1,0.3166,0.0625,0.0625,1.07,0.5564,34.0,-0.485,20.9,90.67
85.0,2.3026,2.2992,2.2977,0.137,0.156,0.1,0.03897,0.125,0.125,-77.723,0.5061,34.0,-0.493,1.67,91.63
86.0,2.3059,2.2998,2.2977,0.137,0.094,0.1,0.3443,0.03125,0.03125,1.182,0.9442,34.0,-0.39,20.2,92.53
87.0,2.2982,2.2994,2.2967,0.137,0.062,0.1,0.08817,0.0625,0.0625,-4.189,2.883,36.0,-1.55,0.67,93.46
