step,loss,train_loss_avg10,probe_loss,probe_accuracy,batch_accuracy,grad_norm,step_norm,epsilon,lr,step_seconds,wall_clock_s
0,3.009812116622925,3.009812116622925,3.01877760887146,0.0859375,0.125,14.782332420349121,4.8777642250061035,1.0,0.5,23.44727641699137,23.451616999984253
1,2.6830830574035645,2.8464475870132446,2.9421019554138184,0.0859375,0.140625,7.0088653564453125,1.2241770029067993,1.0,0.5,33.07178841601126,56.525569707970135
2,2.293830633163452,2.6622419357299805,2.451892614364624,0.10546875,0.125,1.7124100923538208,9.99843978881836,1.0,0.5,26.996902749990113,83.52459154196549
3,28.612106323242188,9.149708032608032,28.61062240600586,0.10546875,0.125,119.13908386230469,3.4757962226867676,1.0,0.5,25.60091045795707,109.1289824579726
4,14.116354942321777,10.143037414550781,14.667156219482422,0.10546875,0.125,63.1316032409668,8.066485404968262,1.0,0.5,23.142902791965753,132.27366079197964
5,68.18418884277344,19.81656265258789,62.91647720336914,0.109375,0.09375,261.7917785644531,27.24473762512207,1.0,0.5,30.627974792034365,162.9020977920154
6,527.7614135742188,92.38011278424945,544.19482421875,0.09375,0.046875,1978.9271240234375,14.126057624816895,1.0,0.5,22.015192292048596,184.917939750012
