step,loss,train_loss_avg10,probe_loss,probe_accuracy,batch_accuracy,grad_norm,step_norm,epsilon,lr,step_seconds,wall_clock_s
0,3.009812116622925,3.009812116622925,3.01877760887146,0.0859375,0.125,14.782332420349121,0.09755528450012207,1.0,0.01,20.59684895799728,20.604362290992867
1,3.0042600631713867,3.0070360898971558,3.0205087661743164,0.0859375,0.125,14.816017150878906,0.30280969619750975,1.0,0.01,21.5690450000111,42.174019458005205
2,2.934497117996216,2.9828564325968423,2.9762277603149414,0.0859375,0.125,13.740527153015137,0.05971159458160401,1.0,0.01,21.26395970804151,63.43868083303096
3,2.931950569152832,2.97012996673584,2.9668121337890625,0.0859375,0.125,13.5495023727417,0.5535993194580078,1.0,0.01,22.150475582981016,85.58940516598523
4,2.8342220783233643,2.9429483890533445,2.9153521060943604,0.0859375,0.125,12.49567699432373,0.03949407339096069,1.0,0.01,18.497924333030824,104.08757416601293
5,2.8328042030334473,2.9245910247166953,2.91209077835083,0.0859375,0.125,12.302139282226562,0.2888162612915039,1.0,0.01,16.870955332997255,120.95875783299562
6,2.7805402278900146,2.9040123394557407,2.858552932739258,0.0859375,0.125,11.860904693603516,0.07727160453796388,1.0,0.01,16.80964062496787,137.76888495800085
7,2.776442289352417,2.8880660831928253,2.852783203125,0.0859375,0.125,11.683849334716797,0.3008390235900879,1.0,0.01,16.72105241601821,154.49013191601261
8,2.7438018321990967,2.8720367219713,2.8305747509002686,0.0859375,0.125,10.621760368347168,2.1549972534179687,1.0,0.01,16.655784083006438,171.14614791603526
9,2.385629653930664,2.823396015167236,2.506533145904541,0.0625,0.109375,2.7695541381835938,0.2586539268493652,1.0,0.01,16.84901845798595,187.99536520801485
10,2.3611810207366943,2.7813764702190054,2.4699971675872803,0.078125,0.09375,2.507324457168579,0.8959166717529297,1.0,0.01,17.054514750023372,205.05017200001748
11,2.319074869155884,2.7428513367970786,2.3741118907928467,0.1171875,0.078125,1.0130528211593628,0.07475678443908691,1.0,0.01,13.504757208982483,218.55516737501603
12,2.3164544105529785,2.71005157323984,2.3782994747161865,0.109375,0.0625,1.1976032257080078,0.10413673400878906,1.0,0.01,13.128799208032433,231.68405441602226
13,2.3099968433380127,2.6814762353897095,2.376025438308716,0.12109375,0.078125,1.255615234375,0.026045317649841308,1.0,0.01,12.70706008299021,244.39117995800916
14,2.3102052211761475,2.6567248344421386,2.3763115406036377,0.12109375,0.09375,1.1365575790405273,0.04552505016326904,1.0,0.01,14.40484341600677,258.79628029098967
15,2.3049776554107666,2.634740635752678,2.3741257190704346,0.1171875,0.09375,1.270976185798645,0.017568967342376708,1.0,0.01,17.128240249992814,275.92484737501945
