step,train_bce_mean,wall_s
0,0.6987393498420715,0.09465479099890217
1,0.6935412287712097,0.11109170794952661
2,0.6832841634750366,0.1272798329591751
3,0.6694386005401611,0.14477295795222744
4,0.6529416441917419,0.15689762495458126
5,0.632595419883728,0.16980299999704584
6,0.6121326088905334,0.18406137498095632
7,0.5893402695655823,0.20076212496496737
8,0.5665509700775146,0.21700949996011332
9,0.5448673367500305,0.24710079096257687
10,0.5205567479133606,0.26394074998097494
11,0.4996350407600403,0.2753196249832399
12,0.4810759127140045,0.28895362495677546
13,0.4641062319278717,0.3053949999739416
14,0.4448619484901428,0.3215071249869652
15,0.4262385368347168,0.3416426249896176
16,0.411755234003067,0.3638761659967713
17,0.39729613065719604,0.3840962909744121
18,0.38474753499031067,0.3988713329890743
19,0.3711669445037842,0.41410766600165516
20,0.36524927616119385,0.42736037500435486
21,0.35469067096710205,0.44138479098910466
22,0.3474976718425751,0.4579871249734424
23,0.337670236825943,0.47174741595517844
24,0.3343539237976074,0.48626433295430616
25,0.3200145959854126,0.5005006659775972
26,0.31206098198890686,0.5170402499497868
27,0.31748777627944946,0.5304285409511067
28,0.3119371831417084,0.5437209999654442
29,0.30515235662460327,0.5583619159879163
30,0.2985653579235077,0.5744227499817498
31,0.301912397146225,0.5960521249799058
32,0.2972155213356018,0.6112750829779543
33,0.29679757356643677,0.6248474159510806
34,0.2904830873012543,0.6391793749644421
35,0.285613477230072,0.6597828749800101
36,0.2974775433540344,0.6815422079525888
37,0.28581348061561584,0.6968852909631096
38,0.2830475866794586,0.7142718749819323
39,0.29094529151916504,0.731339999998454
40,0.2902543246746063,0.7440412909490988
41,0.28410524129867554,0.7589001249871217
42,0.2759399712085724,0.7752974159666337
43,0.28035324811935425,0.7949444999685511
44,0.2800886929035187,0.8094279999495484
45,0.2853643596172333,0.8208011660026386
46,0.2825814187526703,0.8321157079772092
47,0.2781194746494293,0.8445292079704814
48,0.2772091031074524,0.8595919579965994
49,0.28002116084098816,0.8741203329991549
50,0.2773670554161072,0.9648863329784945
51,0.27597472071647644,0.9762630409677513
52,0.28240036964416504,0.9873981249984354
53,0.27949827909469604,0.999754499993287
54,0.2736402153968811,1.012600707996171
55,0.2825275659561157,1.0247705829679035
56,0.27099382877349854,1.0369538749800995
57,0.26818010210990906,1.0490056659909897
58,0.26574093103408813,1.0621086249593645
59,0.27294716238975525,1.0741094579570927
60,0.2780003249645233,1.09060104098171
61,0.2696867883205414,1.106807999953162
62,0.2777255177497864,1.1218853329773992
63,0.28133440017700195,1.139947499963455
64,0.26824259757995605,1.1524056249763817
65,0.27441099286079407,1.1664947909885086
66,0.26733845472335815,1.1808134579914622
67,0.2669934332370758,1.195886374975089
