epoch,step,test_bce_per_pixel,wall_s
0,0,0.6985872727997449,0.0
1,50,0.2689472207828444,0.9515464580035768
2,100,0.260021691147162,1.9584394159610383
3,150,0.257855394013074,3.299915499985218
4,200,0.25694790836256376,4.109603540971875
5,250,0.2564784109933036,4.888487124990206
6,300,0.2557081423389668,5.59210049995454
7,350,0.2557460314692283,6.321668624994345
8,400,0.25543989158163266,7.0097712079877965
9,450,0.2556040960817921,7.684262708004098
10,500,0.25519414162149234,8.671262332994957
11,550,0.2552352444395727,9.55408016598085
12,600,0.25519145358338646,10.54963012499502
13,650,0.25507664770009564,11.654703582986258
14,700,0.25527592873086735,12.468219457950909
15,750,0.25543764698262117,13.328694374999031
16,800,0.25502459841358416,14.147943915973883
17,850,0.2548856425382653,15.104008707974572
18,900,0.25499398865991707,15.953544249990955
19,950,0.2548567218391263,16.613037874980364
20,1000,0.25485221769371813,17.42995520797558
21,1050,0.2549123435507015,18.2535471249721
22,1100,0.25485166962292727,19.058916665962897
23,1150,0.25482908163265305,19.852872249961365
24,1200,0.2546339036591199,20.625569124997128
25,1250,0.2548337626554528,21.485959249956068
26,1300,0.25472415597098214,22.314266665955074
27,1350,0.2548099988042092,23.210719291004352
28,1400,0.25501904296875,23.90560487494804
29,1450,0.2549622105189732,24.60652274999302
30,1500,0.2549671805245536,25.372994707955513
31,1550,0.25487958137356503,26.107664415962063
32,1600,0.2547626504703444,27.155879249970894
33,1650,0.2546220105229592,28.044651707983576
34,1700,0.2547397685148278,28.952476374979597
35,1750,0.2547479272959184,29.74524683295749
36,1800,0.2545741465043048,30.70190599997295
37,1850,0.2544650555046237,31.548867207951844
38,1900,0.25487894610969386,32.36225158296293
39,1950,0.2546702955596301,33.39628179097781
40,2000,0.25462937211017217,34.37865695799701
