step,loss,train_loss_avg10,probe_loss,probe_accuracy,batch_accuracy,grad_norm,step_norm,epsilon,lr,step_seconds,wall_clock_s
0,3.009812116622925,3.009812116622925,3.01877760887146,0.0859375,0.125,14.782332420349121,0.9755528450012207,1.0,0.1,20.39209912501974,20.395035208028276
1,3.2506046295166016,3.130208373069763,2.8526363372802734,0.0859375,0.078125,14.340742111206055,0.9634422302246094,1.0,0.1,21.82769537495915,42.23715841700323
2,2.625948190689087,2.9621216456095376,2.7734007835388184,0.078125,0.125,5.720509052276611,0.3288552045822144,1.0,0.1,24.943662207981106,67.18547900003614
3,2.4459383487701416,2.8330758213996887,2.6781277656555176,0.08203125,0.171875,4.624812126159668,0.425172233581543,1.0,0.1,25.358706415980123,92.58370708301663
4,2.74442720413208,2.815346097946167,2.592890501022339,0.0859375,0.015625,5.98381233215332,0.5065507411956788,1.0,0.1,27.054704540991224,119.6497812080197
5,2.4917850494384766,2.7614192565282187,2.4916934967041016,0.08984375,0.078125,3.19704270362854,0.6684510707855225,1.0,0.1,30.04128079203656,149.83274825004628
6,2.4903531074523926,2.722695520945958,2.5143086910247803,0.0703125,0.09375,3.7179877758026123,0.33609039783477784,1.0,0.1,26.95727033400908,176.79677379201166
7,2.366084098815918,2.6781190931797028,2.4399473667144775,0.09375,0.09375,2.599071979522705,0.750007152557373,1.0,0.1,28.79914404201554,205.61148729204433
8,2.3773205280303955,2.6446970303853354,2.393392562866211,0.078125,0.109375,1.991172432899475,1.2378016471862794,1.0,0.1,26.987566958006937,232.60928362503182
9,2.6636178493499756,2.6465891122817995,2.687121629714966,0.109375,0.078125,7.07652473449707,0.8762740135192871,1.0,0.1,30.43851220799843,263.05313887505326
10,2.5090432167053223,2.634084939956665,2.3848419189453125,0.08984375,0.046875,3.5469930171966553,1.3324892044067385,1.0,0.1,31.64533129200572,294.71497229201486
11,2.4198670387268066,2.61623344818751,2.535095691680908,0.08203125,0.125,6.004276752471924,0.4913037300109864,1.0,0.1,37.56289804098196,332.2880879580043
